Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI,Priority Sector (Y/N),Priority Sector,passers_2023_agg,examinees_2023_agg,passers_2024_agg,examinees_2024_agg,passing_rate_2023_agg,passing_rate_2024_agg
U.S. Country Desk Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N,,,,,,
UI/UX Designer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,Y,Digital Technology,,,,,,
UI/UX Game Artist,Information and Communication,"Motion picture, video and television programme activities",Higher Education,No,No,N,N,,,,,,
Underwater Diving Instructor,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,N,N,,,,,,
Urban Forestry Aide,Forestry,Silviculture and other forestry activities,Higher Education,Yes,No,N,N,1076.0,1947.0,928.0,1574.0,55.26,58.96
Urban Planning Assistant,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,No,Yes,N,N,,,,,,
Utility Personnel (Tourism),Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Values Education Teacher,Professional Teachers,"Primary/elementary education, Secondary/high school education",Higher Education,Yes,No,N,N,77777.0,146562.0,68900.0,129928.0,53.07,53.03
Vector Control Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N,,,,,,
Vehicle Mechanic,Manufacturing,Manufacture of motor vehicles,Higher Education,No,No,N,N,,,,,,
Veterinary Lab Technician,"Agriculture, Forestry, and Fishing",Animal production,Higher Education,No,Yes,N,N,,,,,,
Video Editing Assistant,Information and Communication,"Motion picture, video and television programme activities",Higher Education,No,Yes,N,N,,,,,,
Video Post-Production Editor,Information and Communication,"Motion picture, video and television programme activities",Not Higher Education,No,No,N,N,,,,,,
Video Production Assistant,Information and Communication,"Motion picture, video and television programme activities",Higher Education,No,Yes,N,N,,,,,,
Virtual Assistant,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Not Higher Education,No,No,Y,Financial Services,,,,,,
Visual Designer,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,N,,,,,,
Visual Effects Assistant,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes,N,N,,,,,,
Visual Graphic Artist,"Arts, entertainment and recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,N,N,,,,,,
Visual Storyteller,Information and Communication,Other information service activities,Higher Education,No,No,N,N,,,,,,
Vocal Performer,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,N,,,,,,
Voice and Speech Therapist,Occupational Therapy,Medical and dental practice activities,Higher Education,Yes,No,Y,Health,323.0,554.0,353.0,536.0,58.3,65.86
Voice Talent,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,N,,,,,,
Voice-over Artist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,N,,,,,,
Wafer Fabrication Technician,Manufacturing,Manufacture of electronic components,Higher Education,No,Yes,Y,Advanced Manufacturing,,,,,,
Ward Assistant,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes,Y,Health,,,,,,
Ward Attendant,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes,Y,Health,,,,,,
Warehouse Aide (Healthcare),Human Health and Social Work Activities,Hospital activities,Not Higher Education,No,No,Y,Health,,,,,,
Warehouse Forklift Operator,Transportation and Storage,Other land transport,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Warehouse Personnel,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Warehouseman (Healthcare),Human Health and Social Work Activities,Hospital activities,Not Higher Education,No,No,Y,Health,,,,,,
Waste Handler (Manufacturing),Manufacturing,Manufacture of other food products,Not Higher Education,No,No,N,N,,,,,,
Waste Management Officer (Manufacturing),Manufacturing,"Other manufacturing, n.e.c.",Higher Education,No,No,N,N,,,,,,
Waste Officer (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,No,Y,Health,,,,,,
Wastewater Treatment Specialist             ,Sanitary Engineering,Waste treatment and disposal,Higher Education,Yes,No,Tourism,Tourism,76.0,162.0,105.0,156.0,46.91,67.31
Water Quality Analyst,"Water Supply; Sewerage, Waste Management and Remediation","Water collection, treatment and supply",Higher Education,No,No,Tourism,Tourism,,,,,,
Water Quality Engineer                      ,Sanitary Engineering,"Water collection, treatment and supply",Higher Education,Yes,No,Tourism,Tourism,76.0,162.0,105.0,156.0,46.91,67.31
Water Well Installer,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No,Tourism,Tourism,,,,,,
Waterside Worker,Transportation and Storage,Sea and coastal water transport,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Web Application Developer,Information and Communication,"Computer programming, consultancy and related activities",Not Higher Education,No,No,Y,Digital Technology,,,,,,
Web Designer,Information and Communication,"Computer programming, consultancy and related activities",Not Higher Education,No,No,Y,Digital Technology,,,,,,
Web Developer (Python),Information and Communication,"Computer programming, consultancy and related activities",Not Higher Education,No,No,Y,Digital Technology,,,,,,
Web Developer Intern,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,Y,Digital Technology,,,,,,
Wellness Coach,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,Y,Health,,,,,,
Wellness Program Aide,Human Health and Social Work Activities,Other human health activities,Higher Education,No,Yes,Y,Health,,,,,,
Wheelchair Technician,Human Health and Social Work Activities,Other human health activities,Not Higher Education,No,No,Y,Health,,,,,,
Wheel-Loader Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Wildlife Field Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N,,,,,,
Wind Turbine Technician,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Not Higher Education,No,No,N,N,,,,,,
Window Cleaner,Accommodation and Food Service Activities,Other accommodation,Higher Education,No,No,Tourism,Tourism,,,,,,
Wood Carver,Manufacturing,Manufacture of furniture,Not Higher Education,No,No,N,N,,,,,,
Workforce Management Analyst,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,No,Y,Financial Services,,,,,,
Workforce Wellness Coordinator,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,Y,Health,,,,,,
Worship Musician,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,N,,,,,,
