Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI,Priority Sector (Y/N),Priority Sector
Music Production Assistant,Information and Communication,Sound recording and music publishing activities,Higher Education,No,Yes,N,N
Music Teacher (Choral Director),Education,Other education services,Higher Education,Yes,No,N,N
Nail Technician,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,N,N
Natural Resource Planner,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N
Natural Resources Technician,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N
Network Cabling Technician,Manufacturing                                                ,Manufacture of communication equipment,Not Higher Education,No,Yes,Y,Advanced Manufacturing
Network Operations Technician,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,Yes,Y,Digital Technology
News Production Assistant,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,Yes,N,N
News Reporter,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,No,N,N
Newsroom Assistant,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,Yes,N,N
Nurse Anaesthetist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,Y,Health
Nursery Teacher,Education,Pre-primary/pre-school education,Higher Education,Yes,No,N,N
Nursing Attendant,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Not Higher Education,No,No,Y,Health
Nutrition Program Assistant,Human Health and Social Work Activities,Other human health activities,Higher Education,Yes,No,Y,Health
Nutritional Product Developer,Manufacturing                                                ,Manufacture of other food products,Higher Education,Yes,No,N,N
Occupational Therapy Assistant,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes,Y,Health
Off-Highway Dump Truck (Rigid) Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,N,N
Office Receptionist,Administrative and Support Service Activities,Office administrative and support activities,Higher Education,No,Yes,Y,Financial Services
Oil and Gas Field Technician,Mining and Quarrying,"Extraction of crude petroleum, Extraction of natural gas",Higher Education,No,Yes,N,N
Oil Palm Farmer,"Agriculture, Forestry, and Fishing",Growing of perennial crops,Not Higher Education,No,No,N,N
Online Store Executive Assistant,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail Sale via Mail Order Houses or via Internet,Higher Education,No,Yes,N,N
Operating Theatre Nurse,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,Y,Health
Operations Assistant,Administrative and Support Service Activities,Office administrative and support activities,Higher Education,No,Yes,Y,Financial Services
Operations Support Analyst,"Professional, Scientific and Technical Activities",Management consultancy activities,Higher Education,No,No,N,N
Optician,Human Health and Social Work Activities,Other human health activities,Not Higher Education,No,No,Y,Health
Orchestra Violinist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,N
Organic Vegetable Farmer,"Agriculture, Forestry, and Fishing",Plant propagation,Not Higher Education,No,No,N,N
Organizational Development Specialist (OD),Administrative and Support Service Activities,Other human resources provision,Higher Education,No,No,Y,Financial Services
Orthopaedic Physical Therapist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,Y,Health
Orthotic Technician,Human Health and Social Work Activities,Medical and dental practice activities,Not Higher Education,No,No,Y,Health
Orthotic/Prosthetic Technician,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes,Y,Health
Packagers,"Agriculture, Forestry, and Fishing",Post-harvest crop activities or packaging food products,Not Higher Education,No,No,N,N
Painter,Construction,Building completion and finishing,Not Higher Education,No,No,N,N
Painting Restorer,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Not Higher Education,No,No,N,N
Pantry Attendant,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,N,N
Paper Mache Maker,Manufacturing                                                ,Manufacture of paper and paper products,Not Higher Education,No,No,N,N
Park and Garden Rangers,Administrative and Support Service Activities,Landscape care and maintenance service activities,Not Higher Education,No,No,Y,Financial Services
Park Sweeper,Accommodation and Food Service Activities,Other accommodation,Not Higher Education,No,No,N,N
Parking Valet,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,N,N
Passenger Bus Driver,Transportation and Storage,Transport via buses,Not Higher Education,No,No,N,N
Passenger Services Agent,Transportation and Storage,"Passenger air transport, Freight air transport",Higher Education,No,No,N,N
Pastoral Support Worker,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,Y,Health
Pastry Baker,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Not Higher Education,No,No,N,N
Pathology Lab Assistant,Human Health and Social Work Activities,Hospital activities,Higher Education,Yes,No,Y,Health
Patient Care Assistant,Human Health and Social Work Activities,Other human health activities,Not Higher Education,No,No,Y,Health
Patient Service Associate,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes,Y,Health
Paver Operator,Construction,Construction of roads and railways,Not Higher Education,No,No,Y,Tourism
Payroll Accountant,Financial and Insurance Activities,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,Y,Financial Services
Payroll Clerk,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,Yes,Y,Financial Services
Performance and Rewards Associate,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,Yes,Y,Financial Services
Performance Assistant,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes,N,N
Performance Specialist,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,No,Y,Financial Services
Personal Care Aide,Human Health and Social Work Activities,"Other residential care activities, n.e.c.",Not Higher Education,No,No,Y,Health
Pest Management Assistant,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,No,Yes,N,N
Pest-Control Technician,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,N,N
Pharmaceutical Laboratory Analyst,Human Health and Social Work Activities,Other human health activities,Higher Education,Yes,No,Y,Health
Pharmaceutical Machine Operator,Manufacturing                                                ,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",Not Higher Education,No,No,N,N
Pharmacy Assistant,Human Health and Social Work Activities,Other human health activities,Not Higher Education,No,No,Y,Health
Philosophy Academic Content Writer,Education,Other Education,Higher Education,No,No,N,N
Philosophy and Ethics Instructor,Education,Higher education,Higher Education,No,No,N,N
Photo Editing Assistant,Information and Communication,"Motion picture, video and television programme activities",Higher Education,No,Yes,N,N
Photographer,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Not Higher Education,No,No,N,N
Physics Lab Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,N,N
Piano Accompanist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,N
Picture Restorer,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Not Higher Education,No,No,N,N
Pili Processor,Manufacturing                                                ,Processing and preserving of fruits and vegetables,Not Higher Education,No,No,N,N
Pipe Welder (SAW),Construction,Other specialized construction activities,Not Higher Education,No,No,Y,Tourism
Pipefitter,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No,Y,Tourism
Planetarium Assistant,Education,Educational support services,Higher Education,No,Yes,N,N
Plant Maintenance Mechanic,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution, Manufacture of gas; distribution of gaseous fuels through mains",Not Higher Education,No,No,N,N
Plant Process Operator,Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,No,Yes,N,N
Plant Propagator,"Agriculture, Forestry, and Fishing",Plant propagation,Not Higher Education,No,No,N,N
Plant Tissue Culture Laboratory Technician,"Agriculture, Forestry, and Fishing",Plant propagation,Not Higher Education,No,No,N,N
Plate Welder (FCAW),Construction,Other specialized construction activities,Not Higher Education,No,No,Y,Tourism
Plate Welder (GMAW),Construction,Other specialized construction activities,Not Higher Education,No,No,Y,Tourism
Plumber,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No,Y,Tourism
Police Officer,Public Administration and Defense; Compulsory Social Security,Public administration and defense; compulsory social security,Higher Education,No,No,N,N
Policy Research Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,Yes,N,N
Policy Support Officer – Islamic Affairs,Public Administration and Defense; Compulsory Social Security,Public Administration and Defense; Compulsory Social Security,Higher Education,No,No,N,N
Political Research Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,Yes,N,N
Political Risk Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N
Pollution Control Officer (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,No,Y,Health
Pollution Control Officer (Manufacturing),Manufacturing                                                ,Manufacture of basic chemicals,Higher Education,No,No,N,N
Pollution Control Technician,"Water Supply; Sewerage, Waste Management and Remediation     ",Sewerage                                                                    ,Higher Education,No,Yes,N,N
Pool Lifeguards,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,N,N
Population Data Scientist,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,Y,Digital Technology
Port Operations Assistant,Transportation and Storage,"Sea and coastal water transport, Inland water transport",Higher Education,No,Yes,N,N
Post-Harvest Workers,"Agriculture, Forestry, and Fishing",Post-harvest crop activities,Not Higher Education,No,No,N,N
Postproduction Assistant,Information and Communication,"Motion picture, video and television programme activities",Not Higher Education,No,No,N,N
Poultry Farmer,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,N,N
Poultry Processing Specialist,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,N,N
Preschool Teacher,Education,Pre-primary education,Higher Education,Yes,No,N,N
Preschool Teaching Aide,Education,Pre-primary education,Higher Education,No,Yes,N,N
Press Worker,Manufacturing                                                ,Printing and service activities related to printing,Not Higher Education,No,No,N,N
Presser (Hand or Machine),Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,N,N
Process Chemistry Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,Yes,No,N,N
Process Design Engineer (Licensed),Manufacturing                                                ,Manufacture of general purpose machinery,Higher Education,Yes,No,Y,Advanced Manufacturing
Process Improvement Analyst,Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,No,No,N,N
Process Inspector,Manufacturing                                                ,Manufacture of general purpose machinery,Not Higher Education,No,No,N,N
Process Instrumentation Technician,Manufacturing                                                ,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",Higher Education,No,Yes,Y,Advanced Manufacturing
Processing Staff/Worker,"Agriculture, Forestry, and Fishing",Post-harvest crop activities,Not Higher Education,No,No,N,N
Procurement Associate,Real Estate Activities,Real Estate Activities on a Fee or Contract Basis,Higher Education,Yes,No,N,N
Procurement Staff (Construction),Construction,Construction of buildings,Higher Education,Yes,No,Y,Tourism
Product Development Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N
Product Development Technician              ,Manufacturing                                                ,Manufacture of other food products,Higher Education,Yes,No,N,N
Product Quality Inspector,Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,No,No,N,N
Production Machine Operator,Manufacturing                                                ,Manufacture of general purpose machinery,Not Higher Education,No,No,N,N
Production Plant Assistant,Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,No,Yes,N,N
Production Scheduling Analyst,Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,No,No,N,N
Professional Driver,Transportation and Storage,Other land transport,Not Higher Education,No,No,N,N
Professional Photographer,"Arts, entertainment and recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,N,N
Program Development Officer,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N
Program Evaluation Specialist,Public Administration and Defense; Compulsory Social Security,Public Administration,Higher Education,No,No,N,N
Program Production Assistant,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,Yes,N,N
Program Support Officer – Faith Initiatives,Public Administration and Defense; Compulsory Social Security,Public Administration and Defense; Compulsory Social Security,Higher Education,No,No,N,N
Program Support Staff,Public Administration and Defense; Compulsory Social Security,Administration of the State and the economic and social policy of the community,Higher Education,No,No,N,N
Programmable Logic Controller - Electrical (Manufacturing),Manufacturing                                                ,Manufacture of other electrical equipment,Higher Education,No,No,Y,Advanced Manufacturing
Programmable Logic Controller - Programming (Manufacturing),Manufacturing                                                ,Manufacture of computers and peripheral equipment and accessories,Higher Education,No,No,Y,Digital Technology
Programmable Logic Controller Specialist / Technician (Manufacturing),Manufacturing                                                ,Manufacture of other electrical equipment,Higher Education,No,Yes,Y,Advanced Manufacturing
Programmer (Manufacturing),Manufacturing                                                ,Manufacture of computers and peripheral equipment and accessories,Higher Education,No,No,Y,Digital Technology
Project Assistant (Cooperatives),Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,Yes,Y,Financial Services
Project Supervisors,Construction,Construction of buildings,Higher Education,Yes,No,Y,Tourism
Project Support Officer,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N
Project Support Officer (Community),Public Administration and Defense; Compulsory Social Security,Other Executive Offices,Higher Education,No,No,N,N
Prosthetic Technician,Human Health and Social Work Activities,Medical and dental practice activities,Not Higher Education,No,No,Y,Health
Protocol Officer,Public Administration and Defense; Compulsory Social Security,Foreign affairs,Higher Education,No,No,N,N
Public Administration Aide,Public Administration and Defense; Compulsory Social Security,Public Administration and Other Executive Offices,Higher Education,No,Yes,N,N
Public Attendant / Public Area Cleaner,Administrative and Support Service Activities,Cleaning activities,Not Higher Education,No,No,Y,Financial Services
Public Health Research Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N
Public Policy Officer,Public Administration and Defense; Compulsory Social Security,Public Administration and Other Executive Offices,Higher Education,No,No,N,N
Publishing Coordinator,Information and Communication,"Publishing of books, periodicals and other publishing activities",Higher Education,No,Yes,N,N
Purchasing and Supply Logistics Clerks (Transportation and Storage),Transportation and Storage,Support activities for transportation,Higher Education,No,No,N,N
Purchasing Officer (Tourism),Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,No,N,N
PV System Designer,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No,Y,Tourism
PV Systems Installation Technician,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No,Y,Tourism
Pyrotechnician,"Arts, entertainment and recreation",Other amusement and recreation activities,Not Higher Education,No,No,N,N
QA/QA Test Engineer Associate,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,Y,Digital Technology
Quality Auditor,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,No,Y,Financial Services
Quality Control Chemist,Manufacturing                                                ,Manufacture of basic chemicals,Higher Education,Yes,No,N,N
Quality Control Supervisors / Engineers (Construction),Construction,Construction of buildings,Higher Education,Yes,No,Y,Tourism
Quality Controller,"Agriculture, Forestry, and Fishing",Post-harvest crop activities,Higher Education,No,No,N,N
Quality Improvement Analyst,Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,No,No,N,N
Quantity Surveyors (Construction),Construction,Demolition and site preparation,Not Higher Education,No,No,N,N
R&D Chef,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,N,N
R&D Food Specialist                         ,Manufacturing                                                ,Manufacture of other food products,Higher Education,Yes,No,N,N
Radiation Therapist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,Y,Health
Radiation Therapy Assistant,Human Health and Social Work Activities,Other human health activities,Higher Education,No,Yes,Y,Health
Radio Producer Assistant,Information and Communication,Radio broadcasting,Higher Education,No,Yes,N,N
Radiological Health Assistant,Human Health and Social Work Activities,Other human health activities,Higher Education,No,Yes,Y,Health
Real Estate Assistant,Real Estate Activities,Real Estate Activities with Own or Leased Property,Higher Education,No,Yes,N,N
Real Estate Salesperson,Real Estate Activities,Real estate activities on a fee or contract basis,Not Higher Education,No,No,N,N
Records Officer (Criminal Justice),Public Administration and Defense; Compulsory Social Security,Public administration and defense; compulsory social security,Higher Education,No,No,N,N
Recreation Worker,Human Health and Social Work Activities,Other human health activities,Higher Education,No,No,Y,Health
Recreational Activities Attendant,"Arts, Entertainment and Recreation",Sports activities,Higher Education,No,Yes,N,N
Recruitment Associate,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,Yes,Y,Financial Services
Registered Forester,"Agriculture, Forestry, and Fishing",Silviculture and other forestry activities,Higher Education,Yes,No,N,N
Registered Naval Architect,Manufacturing                                                ,Building of ships and boats,Higher Education,Yes,No,N,N
Registered Nurse,Human Health and Social Work Activities,Hospital activities,Higher Education,Yes,No,Y,Health
Registered Radiologic Technologist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,Y,Health
Religious Education Teacher,Education,Other education services,Higher Education,Yes,No,N,N
Religious Outreach Worker,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,N,N
Religious Research Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,Yes,N,N
Religious Studies Teacher,Education,Other education services,Higher Education,Yes,No,N,N
Research and Development Officer (Agriculture),"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,N,N
Research Assistant (Physical Sciences),"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,N,N
Research Associate – Public Affairs,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N
Research Clerk (Transportation and Storage),Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,N,N
Reservations Clerk,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,Yes,N,N
Resort Marketing and Events Officer,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,No,N,N
Respiratory Therapy Assistant,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes,Y,Health
Respite Services Home Care Coordinator,Human Health and Social Work Activities,Other human health activities,Higher Education,No,Yes,Y,Health
Restaurant Crew,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Not Higher Education,No,No,N,N
Rewards Specialist,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,No,Y,Financial Services
RF Systems Engineer,Manufacturing                                                ,Manufacture of communication equipment,Higher Education,Yes,No,Y,Advanced Manufacturing
Rice Farmer,"Agriculture, Forestry, and Fishing",Growing of non-perennial crops,Not Higher Education,No,No,N,N
Rice Land Preparation Machinery Operator (Hand Tractor),"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,N,N
Rice Production Assistant,"Agriculture, Forestry, and Fishing",Growing of non-perennial crops,Higher Education,No,Yes,N,N
Ride Operator,"Arts, entertainment and recreation",Other amusement and recreation activities,Not Higher Education,No,No,N,N
Rigger,Construction,Demolition and site preparation,Not Higher Education,No,No,N,N
Rigid On-Highway Dump Truck Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,N,N
Risk Analyst,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,No,Y,Financial Services
Risk Management Assistant,Financial and Insurance Activities,"Activities auxiliary to financial service, except insurance and pension funding",Higher Education,No,Yes,Y,Financial Services
Road Roller [Compactor] Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,N,N
Rolling Stock Technician,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,N,N
Room Attendant,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,Yes,N,N
Rough And Finishing Carpenter,Construction,Construction of buildings,Not Higher Education,No,No,Y,Tourism
Rough Mason,Construction,Construction of buildings,Not Higher Education,No,No,Y,Tourism
Route Planner,Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,N,N
Rural Development Assistant,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,No,Yes,N,N
Rural Health Field Researcher,Human Health and Social Work Activities,Other human health activities,Higher Education,No,No,Y,Health
Safety Officer (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,No,Y,Health
Safety Officer (Hotel),Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,No,N,N
Sailing Coach,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,N,N
Sales Assistant (High School),Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail sale in non-specialized stores,Not Higher Education,No,No,N,N
Sales Associate,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail sale in non-specialized and specialized stores,Higher Education,No,Yes,N,N
Salt Contractor,Manufacturing                                                ,Manufacture of other food products,Not Higher Education,No,No,N,N
Sandblasting Crew,Construction,Construction of utility projects,Not Higher Education,No,No,Y,Tourism
Sanitary Engineer,Manufacturing                                                ,Manufacture of medical and dental instruments and supplies,Higher Education,No,No,N,N
Sanitary Landfill Facility (SLF) Spotter,"Water Supply; Sewerage, Waste Management and Remediation     ",Waste treatment and disposal,Not Higher Education,No,No,N,N
Sanitation and Disinfection Officer (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,Yes,No,Y,Health
Sanitation Inspector,Human Health and Social Work Activities,Human health activities,Higher Education,No,No,Y,Health
SCADA Systems Operator,Manufacturing                                                ,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",Not Higher Education,No,No,Y,Advanced Manufacturing
Scaffolder,Construction,Construction of buildings,Not Higher Education,No,No,Y,Tourism
Science Content Associate,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N
Science Laboratory Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,N,N
Science Subject Teacher,Education,"Primary/elementary education, Secondary/high school education",Higher Education,Yes,No,N,N
Screed Operator (Heavy Equipment),Construction,Demolition and site preparation,Not Higher Education,No,No,N,N
Scriptwriter,"Arts, Entertainment and Recreation","Creative, Arts and Entertainment Activities",Higher Education,No,No,N,N
Sculptor Apprentice,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,N
Sea Patrol (Bantay Dagat),Public Administration and Defense; Compulsory Social Security,Public Administration and Defense; Compulsory Social Security,Not Higher Education,No,No,N,N
Seafarers,Transportation and Storage,Sea and coastal water transport,Higher Education,No,No,N,N
Seamer Operator,Manufacturing                                                ,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,N,N
Seaweed Nursery Operator,"Agriculture, Forestry, and Fishing",Aquaculture,Not Higher Education,No,No,N,N
Seaweed Processor,Manufacturing                                                ,"Processing and preserving of fish, crustaceans and mollusks",Not Higher Education,No,No,N,N
Security Analyst Associate,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,Yes,Y,Financial Services
Security Guard,Administrative and Support Service Activities,Private security activities,Not Higher Education,No,No,Y,Financial Services
Security Operations Center (SOC) Analyst,Information and Communication,"Data processing, hosting and related activities; web portals",Not Higher Education,No,No,N,N
Security Operations Staff,Administrative and Support Service Activities,Private security activities,Higher Education,No,No,Y,Financial Services
Semiconductor Machine Technician,Manufacturing                                                ,Manufacture of electronic components,Not Higher Education,No,No,Y,Advanced Manufacturing
Semiconductor Operator ,Manufacturing                                                ,Manufacture of electronic components,Not Higher Education,No,No,Y,Advanced Manufacturing
Semiconductor Production Operator,Manufacturing                                                ,Manufacture of electronic components,Not Higher Education,No,No,Y,Advanced Manufacturing
Seminary Support Staff,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,N,N
Senior Caregiver,Human Health and Social Work Activities,Residential care activities for the elderly and disabled,Not Higher Education,No,No,Y,Health
Service Vehicle Drivers,Construction,Construction of buildings,Higher Education,No,No,Y,Tourism
Session Guitarist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,N
Shipper and Receiver,Transportation and Storage,Postal activities,Higher Education,No,No,N,N
Shoe Cutter,Manufacturing                                                ,Manufacture of footwear,Not Higher Education,No,No,N,N
Sign Language Teaching Aide,Education,Other Education,Higher Education,No,Yes,N,N
Site Accounting Assistant (Construction),Construction,Construction of buildings,Higher Education,No,Yes,Y,Tourism
Site Engineering Assistant (Licensed Civil Engineer),Construction,"Construction of buildings, Construction of roads and railways, Construction of utility projects, Construction of other civil engineering projects",Higher Education,Yes,No,Y,Tourism
Site HR Officers,Construction,Construction of utility projects,Not Higher Education,No,No,Y,Tourism
Site Monitoring Specialist,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,No,N,N
Skid Loader Operators,Construction,Construction of utility projects,Not Higher Education,No,No,Y,Tourism
Slitter,Manufacturing                                                ,Manufacture of other fabricated metal products; metal working service activities,Not Higher Education,No,No,N,N
Social Enterprise Assistant,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,Yes,Y,Financial Services
Social Listening Research Assistant,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,Yes,N,N
Social Media Content Creator,Information and Communication,"Motion picture, video and television programme activities",Not Higher Education,No,No,Y,Digital Technology
Social Media Manager,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,Y,Digital Technology
Social Policy Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N
Social Welfare Assistant (Healthcare),Human Health and Social Work Activities,Social work activities without accommodation for the elderly and disabled,Higher Education,Yes,No,Y,Health
Social Work Associate,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,Yes,No,Y,Health
Software Quality Assurance Assistant,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,Yes,Y,Digital Technology
Soil And Nutrient Technologist,"Agriculture, Forestry, and Fishing",Plant propagation,Not Higher Education,No,No,N,N
Soil and Plant Lab Technician,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N
Soil and Plant Scientists,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,No,N,N
Solar Night Light And Post Lamp Assembler,Manufacturing                                                ,Manufacture of electric lighting equipment,Not Higher Education,No,No,Y,Advanced Manufacturing
Sonar Fishing Operator,"Agriculture, Forestry, and Fishing",Fishing,Not Higher Education,No,No,N,N
Sonar Technician,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,N,N
Sound Technician,Information and Communication,Sound recording and music publishing activities,Higher Education,No,Yes,N,N
Specialized Carpenter,Construction,Construction of buildings,Not Higher Education,No,No,Y,Tourism
SPED Teacher,Education,Other education services,Higher Education,Yes,No,N,N
SPED Teacher (Primary),Education,Pre-primary education,Higher Education,Yes,No,N,N
SPED Teacher (Secondary),Education,Secondary/high school education,Higher Education,Yes,No,N,N
Speech Therapy Aide,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,Y,Health
Speed Limitation Device Installer,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,N,N
Sports Coach,Education,Other education services,Higher Education,Yes,No,N,N
Sports Events Assistant,"Arts, Entertainment and Recreation",Sports activities,Higher Education,No,Yes,N,N
Sports Program Assistant,"Arts, Entertainment and Recreation",Sports activities,Higher Education,No,Yes,N,N
Spotters,Construction,Other specialized construction activities,Not Higher Education,No,No,Y,Tourism
Stage Performer,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,N
Stamping Machine Operators,Construction,Construction of buildings,Higher Education,Yes,No,Y,Tourism
