Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI
Preschool Teaching Aide,Education,Pre-primary education,Higher Education,No,Yes
Press Worker,Manufacturing                                                ,Printing and service activities related to printing,Not Higher Education,No,No
Presser (Hand or Machine),Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No
Process Chemistry Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,Yes,No
Process Design Engineer (Licensed),Manufacturing                                                ,Manufacture of general purpose machinery,Higher Education,Yes,No
Process Improvement Analyst,Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,No,No
Process Inspector,Manufacturing                                                ,Manufacture of general purpose machinery,Not Higher Education,No,No
Process Instrumentation Technician,Manufacturing                                                ,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",Higher Education,No,Yes
Processing Staff/Worker,"Agriculture, Forestry, and Fishing",Post-harvest crop activities,Not Higher Education,No,No
Procurement Associate,Real Estate Activities,Real Estate Activities on a Fee or Contract Basis,Higher Education,Yes,No
Procurement Staff (Construction),Construction,Construction of buildings,Higher Education,Yes,No
Product Development Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes
Product Development Technician              ,Manufacturing                                                ,Manufacture of other food products,Higher Education,Yes,No
Product Quality Inspector,Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,No,No
Production Machine Operator,Manufacturing                                                ,Manufacture of general purpose machinery,Not Higher Education,No,No
Production Plant Assistant,Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,No,Yes
Production Scheduling Analyst,Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,No,No
Professional Driver,Transportation and Storage,Other land transport,Not Higher Education,No,No
Professional Photographer,"Arts, entertainment and recreation","Creative, arts and entertainment activities",Not Higher Education,No,No
Program Development Officer,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No
Program Evaluation Specialist,Public Administration and Defense; Compulsory Social Security,Public Administration,Higher Education,No,No
Program Production Assistant,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,Yes
Program Support Officer – Faith Initiatives,Public Administration and Defense; Compulsory Social Security,Public Administration and Defense; Compulsory Social Security,Higher Education,No,No
Program Support Staff,Public Administration and Defense; Compulsory Social Security,Administration of the State and the economic and social policy of the community,Higher Education,No,No
Programmable Logic Controller - Electrical (Manufacturing),Manufacturing                                                ,Manufacture of other electrical equipment,Higher Education,No,No
Programmable Logic Controller - Programming (Manufacturing),Manufacturing                                                ,Manufacture of computers and peripheral equipment and accessories,Higher Education,No,No
Programmable Logic Controller Specialist / Technician (Manufacturing),Manufacturing                                                ,Manufacture of other electrical equipment,Higher Education,No,Yes
Programmer (Manufacturing),Manufacturing                                                ,Manufacture of computers and peripheral equipment and accessories,Higher Education,No,No
Project Assistant (Cooperatives),Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,Yes
Project Supervisors,Construction,Construction of buildings,Higher Education,Yes,No
Project Support Officer,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No
Project Support Officer (Community),Public Administration and Defense; Compulsory Social Security,Other Executive Offices,Higher Education,No,No
Prosthetic Technician,Human Health and Social Work Activities,Medical and dental practice activities,Not Higher Education,No,No
Protocol Officer,Public Administration and Defense; Compulsory Social Security,Foreign affairs,Higher Education,No,No
Public Administration Aide,Public Administration and Defense; Compulsory Social Security,Public Administration and Other Executive Offices,Higher Education,No,Yes
Public Attendant / Public Area Cleaner,Administrative and Support Service Activities,Cleaning activities,Not Higher Education,No,No
Public Health Research Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes
Public Policy Officer,Public Administration and Defense; Compulsory Social Security,Public Administration and Other Executive Offices,Higher Education,No,No
Publishing Coordinator,Information and Communication,"Publishing of books, periodicals and other publishing activities",Higher Education,No,Yes
Purchasing and Supply Logistics Clerks (Transportation and Storage),Transportation and Storage,Support activities for transportation,Higher Education,No,No
Purchasing Officer (Tourism),Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,No
PV System Designer,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No
PV Systems Installation Technician,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No
Pyrotechnician,"Arts, entertainment and recreation",Other amusement and recreation activities,Not Higher Education,No,No
QA/QA Test Engineer Associate,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No
Quality Auditor,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,No
Quality Control Chemist,Manufacturing                                                ,Manufacture of basic chemicals,Higher Education,Yes,No
Quality Control Supervisors / Engineers (Construction),Construction,Construction of buildings,Higher Education,Yes,No
Quality Controller,"Agriculture, Forestry, and Fishing",Post-harvest crop activities,Higher Education,No,No
Quality Improvement Analyst,Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,No,No
Quantity Surveyors (Construction),Construction,Demolition and site preparation,Not Higher Education,No,No
R&D Chef,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No
R&D Food Specialist                         ,Manufacturing                                                ,Manufacture of other food products,Higher Education,Yes,No
Radiation Therapist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No
Radiation Therapy Assistant,Human Health and Social Work Activities,Other human health activities,Higher Education,No,Yes
Radio Producer Assistant,Information and Communication,Radio broadcasting,Higher Education,No,Yes
Radiological Health Assistant,Human Health and Social Work Activities,Other human health activities,Higher Education,No,Yes
Real Estate Assistant,Real Estate Activities,Real Estate Activities with Own or Leased Property,Higher Education,No,Yes
Real Estate Salesperson,Real Estate Activities,Real estate activities on a fee or contract basis,Not Higher Education,No,No
Records Officer (Criminal Justice),Public Administration and Defense; Compulsory Social Security,Public administration and defense; compulsory social security,Higher Education,No,No
Recreation Worker,Human Health and Social Work Activities,Other human health activities,Higher Education,No,No
Recreational Activities Attendant,"Arts, Entertainment and Recreation",Sports activities,Higher Education,No,Yes
Recruitment Associate,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,Yes
Registered Forester,"Agriculture, Forestry, and Fishing",Silviculture and other forestry activities,Higher Education,Yes,No
Registered Naval Architect,Manufacturing                                                ,Building of ships and boats,Higher Education,Yes,No
Registered Nurse,Human Health and Social Work Activities,Hospital activities,Higher Education,Yes,No
Registered Radiologic Technologist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No
Religious Education Teacher,Education,Other education services,Higher Education,Yes,No
Religious Outreach Worker,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No
Religious Research Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,Yes
Religious Studies Teacher,Education,Other education services,Higher Education,Yes,No
Research and Development Officer (Agriculture),"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No
Research Assistant (Physical Sciences),"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes
Research Associate – Public Affairs,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes
Research Clerk (Transportation and Storage),Transportation and Storage,Support activities for transportation,Higher Education,No,Yes
Reservations Clerk,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,Yes
Resort Marketing and Events Officer,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,No
Respiratory Therapy Assistant,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes
Respite Services Home Care Coordinator,Human Health and Social Work Activities,Other human health activities,Higher Education,No,Yes
Restaurant Crew,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Not Higher Education,No,No
Rewards Specialist,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,No
RF Systems Engineer,Manufacturing                                                ,Manufacture of communication equipment,Higher Education,Yes,No
Rice Farmer,"Agriculture, Forestry, and Fishing",Growing of non-perennial crops,Not Higher Education,No,No
Rice Land Preparation Machinery Operator (Hand Tractor),"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No
Rice Production Assistant,"Agriculture, Forestry, and Fishing",Growing of non-perennial crops,Higher Education,No,Yes
Ride Operator,"Arts, entertainment and recreation",Other amusement and recreation activities,Not Higher Education,No,No
Rigger,Construction,Demolition and site preparation,Not Higher Education,No,No
Rigid On-Highway Dump Truck Operator,Construction,Demolition and site preparation,Not Higher Education,No,No
Risk Analyst,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,No
Risk Management Assistant,Financial and Insurance Activities,"Activities auxiliary to financial service, except insurance and pension funding",Higher Education,No,Yes
Road Roller [Compactor] Operator,Construction,Demolition and site preparation,Not Higher Education,No,No
Rolling Stock Technician,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No
Room Attendant,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,Yes
Rough And Finishing Carpenter,Construction,Construction of buildings,Not Higher Education,No,No
Rough Mason,Construction,Construction of buildings,Not Higher Education,No,No
Route Planner,Transportation and Storage,Support activities for transportation,Higher Education,No,Yes
Rural Development Assistant,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,No,Yes
Rural Health Field Researcher,Human Health and Social Work Activities,Other human health activities,Higher Education,No,No
Safety Officer (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,No
Safety Officer (Hotel),Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,No
Sailing Coach,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No
Sales Assistant (High School),Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail sale in non-specialized stores,Not Higher Education,No,No
Sales Associate,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail sale in non-specialized and specialized stores,Higher Education,No,Yes
Salt Contractor,Manufacturing                                                ,Manufacture of other food products,Not Higher Education,No,No
Sandblasting Crew,Construction,Construction of utility projects,Not Higher Education,No,No
Sanitary Engineer,Manufacturing                                                ,Manufacture of medical and dental instruments and supplies,Higher Education,No,No
Sanitary Landfill Facility (SLF) Spotter,"Water Supply; Sewerage, Waste Management and Remediation     ",Waste treatment and disposal,Not Higher Education,No,No
Sanitation and Disinfection Officer (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,Yes,No
Sanitation Inspector,Human Health and Social Work Activities,Human health activities,Higher Education,No,No
SCADA Systems Operator,Manufacturing                                                ,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",Not Higher Education,No,No
Scaffolder,Construction,Construction of buildings,Not Higher Education,No,No
Science Content Associate,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes
Science Laboratory Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes
Science Subject Teacher,Education,"Primary/elementary education, Secondary/high school education",Higher Education,Yes,No
Screed Operator (Heavy Equipment),Construction,Demolition and site preparation,Not Higher Education,No,No
Scriptwriter,"Arts, Entertainment and Recreation","Creative, Arts and Entertainment Activities",Higher Education,No,No
Sculptor Apprentice,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No
Sea Patrol (Bantay Dagat),Public Administration and Defense; Compulsory Social Security,Public Administration and Defense; Compulsory Social Security,Not Higher Education,No,No
Seafarers,Transportation and Storage,Sea and coastal water transport,Higher Education,No,No
Seamer Operator,Manufacturing                                                ,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No
Seaweed Nursery Operator,"Agriculture, Forestry, and Fishing",Aquaculture,Not Higher Education,No,No
Seaweed Processor,Manufacturing                                                ,"Processing and preserving of fish, crustaceans and mollusks",Not Higher Education,No,No
Security Analyst Associate,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,Yes
Security Guard,Administrative and Support Service Activities,Private security activities,Not Higher Education,No,No
Security Operations Center (SOC) Analyst,Information and Communication,"Data processing, hosting and related activities; web portals",Not Higher Education,No,No
Security Operations Staff,Administrative and Support Service Activities,Private security activities,Higher Education,No,No
Semiconductor Machine Technician,Manufacturing                                                ,Manufacture of electronic components,Not Higher Education,No,No
Semiconductor Operator ,Manufacturing                                                ,Manufacture of electronic components,Not Higher Education,No,No
Semiconductor Production Operator,Manufacturing                                                ,Manufacture of electronic components,Not Higher Education,No,No
Seminary Support Staff,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No
Senior Caregiver,Human Health and Social Work Activities,Residential care activities for the elderly and disabled,Not Higher Education,No,No
Service Vehicle Drivers,Construction,Construction of buildings,Higher Education,No,No
Session Guitarist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No
Shipper and Receiver,Transportation and Storage,Postal activities,Higher Education,No,No
Shoe Cutter,Manufacturing                                                ,Manufacture of footwear,Not Higher Education,No,No
Sign Language Teaching Aide,Education,Other Education,Higher Education,No,Yes
Site Accounting Assistant (Construction),Construction,Construction of buildings,Higher Education,No,Yes
Site Engineering Assistant (Licensed Civil Engineer),Construction,"Construction of buildings, Construction of roads and railways, Construction of utility projects, Construction of other civil engineering projects",Higher Education,Yes,No
Site HR Officers,Construction,Construction of utility projects,Not Higher Education,No,No
Site Monitoring Specialist,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,No
Skid Loader Operators,Construction,Construction of utility projects,Not Higher Education,No,No
Slitter,Manufacturing                                                ,Manufacture of other fabricated metal products; metal working service activities,Not Higher Education,No,No
Social Enterprise Assistant,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,Yes
Social Listening Research Assistant,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,Yes
Social Media Content Creator,Information and Communication,"Motion picture, video and television programme activities",Not Higher Education,No,No
Social Media Manager,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No
Social Policy Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No
Social Welfare Assistant (Healthcare),Human Health and Social Work Activities,Social work activities without accommodation for the elderly and disabled,Higher Education,Yes,No
Social Work Associate,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,Yes,No
Software Quality Assurance Assistant,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,Yes
Soil And Nutrient Technologist,"Agriculture, Forestry, and Fishing",Plant propagation,Not Higher Education,No,No
Soil and Plant Lab Technician,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes
Soil and Plant Scientists,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,No
Solar Night Light And Post Lamp Assembler,Manufacturing                                                ,Manufacture of electric lighting equipment,Not Higher Education,No,No
Sonar Fishing Operator,"Agriculture, Forestry, and Fishing",Fishing,Not Higher Education,No,No
Sonar Technician,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No
Sound Technician,Information and Communication,Sound recording and music publishing activities,Higher Education,No,Yes
Specialized Carpenter,Construction,Construction of buildings,Not Higher Education,No,No
SPED Teacher,Education,Other education services,Higher Education,Yes,No
SPED Teacher (Primary),Education,Pre-primary education,Higher Education,Yes,No
SPED Teacher (Secondary),Education,Secondary/high school education,Higher Education,Yes,No
Speech Therapy Aide,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No
Speed Limitation Device Installer,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No
Sports Coach,Education,Other education services,Higher Education,Yes,No
Sports Events Assistant,"Arts, Entertainment and Recreation",Sports activities,Higher Education,No,Yes
Sports Program Assistant,"Arts, Entertainment and Recreation",Sports activities,Higher Education,No,Yes
Spotters,Construction,Other specialized construction activities,Not Higher Education,No,No
Stage Performer,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No
Stamping Machine Operators,Construction,Construction of buildings,Higher Education,Yes,No
Startup Operations Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes
Startup Program Intern,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,No
Statistical Assistant,Financial and Insurance Activities,"Activities auxiliary to financial service, except insurance and pension funding",Higher Education,No,Yes
Steelman,Construction,Construction of buildings,Not Higher Education,No,No
Store Display Assistant,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail sale of cultural and recreation goods in specialized stores,Higher Education,No,Yes
Store Keeper,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail sale in non-specialized stores,Not Higher Education,No,No
Store Supervisor Trainee,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail sale in non-specialized and specialized stores,Higher Education,No,No
Storyboard Assistant,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes
Strategic Communications Officer,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No
Strategic Communications Specialist,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No
Structural Design Technician,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No
Structural Steel Erector,Construction,Construction of buildings,Not Higher Education,No,No
Sugarcane Field Technician,"Agriculture, Forestry, and Fishing",Growing of non-perennial crops,Higher Education,No,Yes
Sugarcane Planter,"Agriculture, Forestry, and Fishing",Growing of perennial crops,Not Higher Education,No,No
Supply Chain Officer (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,No
Supply Chain Specialist,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No
Surf Instructor,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No
Surveillance Officer (CCTV Operation),Administrative and Support Service Activities,Security systems service activities,Higher Education,No,No
Surveying Technician,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No
Sustainability Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes
Swine Artificial Insemination Technician,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No
Swine Raiser/Farmer,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No
System Formworks Installer,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No
Systems Accountant,Financial and Insurance Activities,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No
Tailor,Manufacturing                                                ,Custom tailoring and dressmaking,Not Higher Education,No,No
Talent Acquisition and Development Officer (Healthcare),Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No
Talent Acquisition Associate,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,Yes
Talent Attraction and Management Associate,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,Yes
Talent Management Specialist,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,No
Tappers,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No
Taro Processor,Manufacturing                                                ,Processing and preserving of fruits and vegetables,Not Higher Education,No,No
Tax Accountant,Financial and Insurance Activities,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No
Taxi Drivers,Transportation and Storage,Other land transport,Not Higher Education,No,No
Technical Communicator,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,No
Technical Project Assistant,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,Yes
Technical Support Specialist,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No
Technology Operations Assistant,Information and Communication,"Computer Programming, Consultancy and Related Activities",Higher Education,No,Yes
Telecommunications Engineer,Information and Communication,Wired telecommunications activities,Higher Education,No,No
Telediagnostic Technician,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Not Higher Education,No,No
Telephone And Broadband Technician,Information and Communication,Wired telecommunications activities,Not Higher Education,No,No
Television Producer Assistant,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,Yes
Tender Planning & Estimating Staff (Construction),Construction,Construction of buildings,Not Higher Education,No,No
Terminologist,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No
Ticket Issuing / Travel Clerk (Transportation and Storage),Transportation and Storage,"Transport via railways, Transport via buses, Other land transport, Inland water transport",Higher Education,No,Yes
Ticketing and Reservations Agent,Accommodation and Food Service Activities,"Travel agency, tour operator and other reservation service and related activities",Higher Education,No,No
TIG Plate Welder (Carbon Steel),Construction,Other specialized construction activities,Not Higher Education,No,No
Tikog Farmer,"Agriculture, Forestry, and Fishing",Growing of perennial crops,Not Higher Education,No,No
Tilapia Farm Technician,"Agriculture, Forestry, and Fishing",Aquaculture,Not Higher Education,No,No
Tile Setter,Construction,Construction of buildings,Not Higher Education,No,No
Tinsmith (Automotive Manufacturing),Manufacturing                                                ,Manufacture of motor vehicles,Not Higher Education,No,No
Tinsmith (HVAC/R Worker),"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Not Higher Education,No,No
Tinsmiths,Construction,Building completion and finishing,Not Higher Education,No,No
TLE (Agricultural Track) Teacher,Education,Secondary/high school education,Higher Education,Yes,No
TLE (Industrial Arts) Teacher,Education,Secondary/high school education,Higher Education,Yes,No
TLE (Industrial Technology) Teacher,Education,Secondary/high school education,Higher Education,Yes,No
Tool Maker,Manufacturing                                                ,Manufacture of other fabricated metal products; metal working service activities,Not Higher Education,No,No
Toolkeepers,Construction,Other specialized construction activities,Not Higher Education,No,No
Tour Operations Staff,Accommodation and Food Service Activities,Other accommodation,Not Higher Education,No,No
Tourism Information Clerk,Accommodation and Food Service Activities,"Travel agency, tour operator and other reservation service and related activities",Higher Education,No,Yes
Tourist Information Officer (LGU),Public Administration and Defense; Compulsory Social Security,Public Administration and Defense; Compulsory Social Security,Not Higher Education,No,No
Tower Crane Operator,Construction,Demolition and site preparation,Not Higher Education,No,No
Tower Light Tenders,Construction,Other specialized construction activities,Higher Education,No,No
Trade & Diplomatic Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No
Traditional Animator,"Arts, entertainment and recreation","Creative, arts and entertainment activities",Not Higher Education,No,No
Training Quality Specialist,Information and Communication,Other information service activities,Higher Education,No,No
Transit Mixer Operator,Construction,Demolition and site preparation,Not Higher Education,No,No
Translation Associate,Information and Communication,"Publishing of books, periodicals and other publishing activities",Higher Education,No,Yes
Translator,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,No
Transmission Lineman,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Not Higher Education,No,No
Travel Agency Coordinator,Accommodation and Food Service Activities,Other accommodation,Higher Education,No,Yes
Travel Content Creator,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No
Travel Services Clerk,Accommodation and Food Service Activities,"Travel agency, tour operator and other reservation service and related activities",Not Higher Education,No,No
Treasury Staff (Construction),Construction,Construction of buildings,Higher Education,No,No
Truck Mounted Crane Operator,Construction,Demolition and site preparation,Not Higher Education,No,No
TVET Instructor,Education,Other Education,Higher Education,Yes,No
U.S. Country Desk Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No
UI/UX Designer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No
UI/UX Game Artist,Information and Communication,"Motion picture, video and television programme activities",Higher Education,No,No
Underwater Diving Instructor,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No
Urban Forestry Aide,"Agriculture, Forestry, and Fishing",Silviculture and other forestry activities,Higher Education,Yes,No
Urban Planning Assistant,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,No,Yes
Utility Personnel (Tourism),Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No
Values Education Teacher,Education,"Primary/elementary education, Secondary/high school education",Higher Education,Yes,No
Vector Control Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes
Vehicle Mechanic,Manufacturing                                                ,Manufacture of motor vehicles,Higher Education,No,No
Veterinary Lab Technician,"Agriculture, Forestry, and Fishing",Animal production,Higher Education,No,Yes
Video Editing Assistant,Information and Communication,"Motion picture, video and television programme activities",Higher Education,No,Yes
Video Post-Production Editor,Information and Communication,"Motion picture, video and television programme activities",Not Higher Education,No,No
Video Production Assistant,Information and Communication,"Motion picture, video and television programme activities",Higher Education,No,Yes
Virtual Assistant,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Not Higher Education,No,No
Visual Designer,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No
Visual Effects Assistant,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes
Visual Graphic Artist,"Arts, entertainment and recreation","Creative, arts and entertainment activities",Not Higher Education,No,No
Visual Storyteller,Information and Communication,Other information service activities,Higher Education,No,No
Vocal Performer,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No
Voice and Speech Therapist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No
Voice Talent,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No
Voice-over Artist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No
Wafer Fabrication Technician,Manufacturing                                                ,Manufacture of electronic components,Higher Education,No,Yes
Ward Assistant,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes
Ward Attendant,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes
Warehouse Aide (Healthcare),Human Health and Social Work Activities,Hospital activities,Not Higher Education,No,No
Warehouse Forklift Operator,Transportation and Storage,Other land transport,Not Higher Education,No,No
Warehouse Personnel,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No
Warehouseman (Healthcare),Human Health and Social Work Activities,Hospital activities,Not Higher Education,No,No
Waste Handler (Manufacturing),Manufacturing                                                ,Manufacture of other food products,Not Higher Education,No,No
Waste Management Officer (Manufacturing),Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,No,No
Waste Officer (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,No
Wastewater Treatment Specialist             ,"Water Supply; Sewerage, Waste Management and Remediation     ",Waste treatment and disposal,Higher Education,Yes,No
Water Quality Analyst,"Water Supply; Sewerage, Waste Management and Remediation     ","Water collection, treatment and supply",Higher Education,No,No
Water Quality Engineer                      ,"Water Supply; Sewerage, Waste Management and Remediation     ","Water collection, treatment and supply",Higher Education,Yes,No
Water Well Installer,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No
Waterside Worker,Transportation and Storage,Sea and coastal water transport,Not Higher Education,No,No
Web Application Developer,Information and Communication,"Computer programming, consultancy and related activities",Not Higher Education,No,No
Web Designer,Information and Communication,"Computer programming, consultancy and related activities",Not Higher Education,No,No
Web Developer (Python),Information and Communication,"Computer programming, consultancy and related activities",Not Higher Education,No,No
Web Developer Intern,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No
Wellness Coach,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No
Wellness Program Aide,Human Health and Social Work Activities,Other human health activities,Higher Education,No,Yes
Wheelchair Technician,Human Health and Social Work Activities,Other human health activities,Not Higher Education,No,No
Wheel-Loader Operator,Construction,Demolition and site preparation,Not Higher Education,No,No
Wildlife Field Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes
