,Job Title,Educational Qualification,Job Sector,Educational Pathway,HEI with PRC Exam,Some HEI,Job Subsector,PSOC Code,ISCO Code,SOC Code,SOC Title,SOC Codes,SOC Titles,AIOE,Complementarity,AI Risk Classification
823,CNC Lathe Machine Operator,"CNC Lathe Machine Operation NC II, CNC Lathe Machine Operation NC III",Manufacturing,Not Higher Education,No,No,Manufacture of general purpose machinery,7523,7523,51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",['51-7042.00'],"['Woodworking Machine Setters, Operators, and Tenders, Except Sawing']",-1.2391948240029296,0.5302777777777778,Not Affected
824,CNC Milling Machine Operator,"CNC Milling Machine Operation NC II, CNC Milling Machine Operation NC III",Manufacturing,Not Higher Education,No,No,Manufacture of general purpose machinery,7223,7223,51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic","['51-9161.00', '51-4021.00', '51-4022.00', '51-4023.00', '51-4031.00', '51-4032.00', '51-4033.00', '51-4034.00', '51-4035.00', '51-4041.00', '51-4081.00', '51-4199.00']","['Computer Numerically Controlled Tool Operators', 'Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic', 'Forging Machine Setters, Operators, and Tenders, Metal and Plastic', 'Rolling Machine Setters, Operators, and Tenders, Metal and Plastic', 'Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic', 'Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic', 'Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic', 'Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic', 'Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic', 'Machinists', 'Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic', 'Metal Workers and Plastic Workers, All Other']",-0.7604848548728056,0.4597222222222222,Not Affected
825,Coconut Farmer,"Coconut Production Level II, Agricultural Crops Production NC II","Agriculture, Forestry, and Fishing",Not Higher Education,No,No,Support activities to agriculture and post-harvest crop activities,9211,9211,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse","['45-2092.00', '45-2099.00']","['Farmworkers and Laborers, Crop, Nursery, and Greenhouse', 'Agricultural Workers, All Other']",-2.2023735538992737,0.4991666666666667,Not Affected
826,Food Processing Worker,"Coconut Sugar Processing Level II, Mango Processing Level II, Food Processing NC II, Virgin Coconut Oil Processing (Centrifuge Method) Level II",Manufacturing,Not Higher Education,No,No,Manufacture of other food products,7511,7511,51-3023.00,Slaughterers and Meat Packers,"['51-3021.00', '51-3022.00', '51-3023.00', '51-3091.00']","['Butchers and Meat Cutters', 'Meat, Poultry, and Fish Cutters and Trimmers', 'Slaughterers and Meat Packers', 'Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders']",-1.0786766590136143,0.5611111111111111,Not Affected
827,Cocoon Farmer,Cocoon Production Level II,"Agriculture, Forestry, and Fishing",Not Higher Education,No,No,Animal production,6128,6123,45-2021.00,Animal Breeders,"['45-1011.00', '45-2021.00']","['First-Line Supervisors of Farming, Fishing, and Forestry Workers', 'Animal Breeders']",-0.7370703658809756,0.6911111111111111,Not Affected
828,Coffee Farmer Nursery Operator,Coffee Nursery Operation Level II,"Agriculture, Forestry, and Fishing",Not Higher Education,No,No,Growing of perennial crops,6117,6112,45-2091.00,Agricultural Equipment Operators,"['45-1011.00', '45-2091.00']","['First-Line Supervisors of Farming, Fishing, and Forestry Workers', 'Agricultural Equipment Operators']",-0.7370703658809756,0.6911111111111111,Not Affected
829,Green Coffee Beans Processor,Coffee Post-Harvest Handling and Processing Level II,"Agriculture, Forestry, and Fishing",Not Higher Education,No,No,Support activities to agriculture and post-harvest crop activities,6117,6112,45-2091.00,Agricultural Equipment Operators,"['45-1011.00', '45-2091.00']","['First-Line Supervisors of Farming, Fishing, and Forestry Workers', 'Agricultural Equipment Operators']",-0.7370703658809756,0.6911111111111111,Not Affected
830,Commercial Air-Conditioning Unit Technician,Commercial Air-conditioning Installation and Servicing NC III,"Electricity, Gas, Steam and Air Conditioning Supply",Not Higher Education,No,No,Airconditioning and Refrigeration,7127,7127,49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers","['49-1011.00', '49-9021.00']","['First-Line Supervisors of Mechanics, Installers, and Repairers', 'Heating, Air Conditioning, and Refrigeration Mechanics and Installers']",-0.1748634323778201,0.6933333333333334,Not Affected
831,Commercial Refrigeration Equipment Technician,Commercial Refrigeration Installation and Servicing NC III,"Electricity, Gas, Steam and Air Conditioning Supply",Not Higher Education,No,No,Airconditioning and Refrigeration,7127,7127,49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers","['49-1011.00', '49-9021.00']","['First-Line Supervisors of Mechanics, Installers, and Repairers', 'Heating, Air Conditioning, and Refrigeration Mechanics and Installers']",-0.1748634323778201,0.6933333333333334,Not Affected
832,Community Nutrition Services Worker,Community Nutrition Services NC II,Human Health and Social Work Activities,Not Higher Education,No,No,"Other social work activities without accommodation, n.e.c.",3253,3253,21-1094.00,Community Health Workers,['21-1094.00'],['Community Health Workers'],-0.0632242294411926,0.6677777777777778,Not Affected
833,Computer Security Support Staff,"Computer Security Incident Handling Level I, Computer Security Incident Handling Level II",Information and Communication,Not Higher Education,No,No,Other information service activities,2529,2529,15-1212.00,Information Security Analysts,"['15-1212.00', '15-1299.00', '15-1299.01', '15-1299.02', '15-1299.03', '15-1299.04', '15-1299.05', '15-1299.06', '15-1299.07', '15-1299.08', '15-1299.09']","['Information Security Analysts', 'Computer Occupations, All Other', 'Web Administrators', 'Geographic Information Systems Technologists and Technicians', 'Document Management Specialists', 'Penetration Testers', 'Information Security Engineers', 'Digital Forensics Analysts', 'Blockchain Engineers', 'Computer Systems Engineers/Architects', 'Information Technology Project Managers']",1.158693016654159,0.581111111111111,Automated
834,Computer Assembler,Computer Systems Servicing NC II,Manufacturing,Not Higher Education,No,No,Manufacture of computers and peripheral equipment and accessories,8212,8212,51-2022.00,Electrical and Electronic Equipment Assemblers,"['51-2021.00', '51-2022.00', '51-2023.00', '51-2061.00', '51-9194.00']","['Coil Winders, Tapers, and Finishers', 'Electrical and Electronic Equipment Assemblers', 'Electromechanical Equipment Assemblers', 'Timing Device Assemblers and Adjusters', 'Etchers and Engravers']",-0.9355984264241232,0.5452777777777779,Not Affected
835,Construction Lift Passenger/ Material Elevator Operator,Construction Lift Passenger/Material Elevator Operation NC II,Construction,Not Higher Education,No,No,Construction of utility projects,8343,8343,53-7021.00,Crane and Tower Operators,"['39-3091.00', '53-1049.00', '53-6011.00', '53-7021.00', '53-7041.00']","['Amusement and Recreation Attendants', 'First-Line Supervisors of Transportation Workers, All Other', 'Bridge and Lock Tenders', 'Crane and Tower Operators', 'Hoist and Winch Operators']",-0.5268736463205379,0.5488888888888889,Not Affected
836,Construction Painter,"Construction Painting NC II, Construction Painting NC III",Construction,Not Higher Education,No,No,Building completion and finishing,7131,7131,47-2141.00,"Painters, Construction and Maintenance","['47-2141.00', '47-2142.00']","['Painters, Construction and Maintenance', 'Paperhangers']",-1.6664752928521651,0.6166666666666666,Not Affected
837,Consumer Electronics Assembler,Consumer Electronics NC II (Superseded),Manufacturing,Not Higher Education,No,No,Manufacture of consumer electronics,8212,8212,51-2022.00,Electrical and Electronic Equipment Assemblers,"['51-2021.00', '51-2022.00', '51-2023.00', '51-2061.00', '51-9194.00']","['Coil Winders, Tapers, and Finishers', 'Electrical and Electronic Equipment Assemblers', 'Electromechanical Equipment Assemblers', 'Timing Device Assemblers and Adjusters', 'Etchers and Engravers']",-0.9355984264241232,0.5452777777777779,Not Affected
838,Contact Center (Call Center) Agent,Contact Center Services NC II,Administrative and Support Service Activities,Not Higher Education,No,No,Call centers and other related activities,4222,4222,43-4051.00,Customer Service Representatives,"['43-4051.00', '43-4171.00']","['Customer Service Representatives', 'Receptionists and Information Clerks']",0.962945974544274,0.4452777777777777,Automated
839,Local Government Contact Tracer,Contact Tracing Level II,Human Health and Social Work Activities,Not Higher Education,No,No,"Other social work activities without accommodation, n.e.c.",3252,3252,29-9021.00,Health Information Technologists and Medical Registrars,['29-9021.00'],['Health Information Technologists and Medical Registrars'],0.0541689174299163,0.7051388888888888,Not Affected
840,Social Media Content Creator,Content Creation (Social Media) Level III,Information and Communication,Not Higher Education,No,No,"Motion picture, video and television programme activities",2431,2431,13-1161.01,Search Marketing Strategists,"['13-1161.00', '13-1161.01', '27-3043.00', '27-3043.05']","['Market Research Analysts and Marketing Specialists', 'Search Marketing Strategists', 'Writers and Authors', 'Poets, Lyricists and Creative Writers']",1.3366137220135108,0.5569444444444445,Automated
841,Courier,Courier Delivery Services Level II,Transportation and Storage,Not Higher Education,No,No,Support activities for transportation,4412,4412,43-5021.00,Couriers and Messengers,"['43-5021.00', '43-5051.00', '43-5052.00', '43-5053.00', '43-9051.00']","['Couriers and Messengers', 'Postal Service Clerks', 'Postal Service Mail Carriers', 'Postal Service Mail Sorters, Processors, and Processing Machine Operators', 'Mail Clerks and Mail Machine Operators, Except Postal Service']",-1.0667742938745437,0.5847222222222223,Not Affected
842,Court Stenographer,Court Stenography Level II,Public Administration and Defense; Compulsory Social Security,Not Higher Education,No,No,Public Administration and Defense; Compulsory Social Security,4131,4131,43-9022.00,Word Processors and Typists,['43-9022.00'],['Word Processors and Typists'],0.5259741602171287,0.4522222222222222,Automated
843,Cashier,"Customer Services NC II, Salesmanship Level II",Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Not Higher Education,No,No,Retail sale in non-specialized stores,5230,5230,41-2011.00,Cashiers,"['41-2011.00', '41-2012.00']","['Cashiers', 'Gambling Change Persons and Booth Cashiers']",-0.328957921083074,0.5277777777777778,Not Affected
844,Cyber Threat Analyst,Cyber Threat Mitigation Level II,Information and Communication,Not Higher Education,No,No,"Data processing, hosting and related activities; web portals",2529,2529,15-1212.00,Information Security Analysts,"['15-1212.00', '15-1299.00', '15-1299.01', '15-1299.02', '15-1299.03', '15-1299.04', '15-1299.05', '15-1299.06', '15-1299.07', '15-1299.08', '15-1299.09']","['Information Security Analysts', 'Computer Occupations, All Other', 'Web Administrators', 'Geographic Information Systems Technologists and Technicians', 'Document Management Specialists', 'Penetration Testers', 'Information Security Engineers', 'Digital Forensics Analysts', 'Blockchain Engineers', 'Computer Systems Engineers/Architects', 'Information Technology Project Managers']",1.158693016654159,0.581111111111111,Automated
845,Cybersecurity Help Desk,Cyber Threat Monitoring NC I,Information and Communication,Not Higher Education,No,No,Other information service activities,3512,3512,15-1232.00,Computer User Support Specialists,['15-1232.00'],['Computer User Support Specialists'],0.4154865910960427,0.6263888888888889,Augmented
846,Enumerator,Data Collection NC II,"Professional, Scientific and Technical Activities",Not Higher Education,No,No,"Other professional, scientific and technical activities, n.e.c.",4227,4227,43-4111.00,"Interviewers, Except Eligibility and Loan",['43-4111.00'],"['Interviewers, Except Eligibility and Loan']",1.1873154955236864,0.5880555555555556,Automated
847,Junior AI Data Governance Officer,Data Governance Level IV,Information and Communication,Not Higher Education,No,No,"Data processing, hosting and related activities; web portals",2521,2521,15-1243.01,Data Warehousing Specialists,"['15-1243.00', '15-1243.01']","['Database Architects', 'Data Warehousing Specialists']",1.2013073999660326,0.5488888888888889,Automated
848,Dental Hygienist,Dental Hygiene Level IV,Human Health and Social Work Activities,Not Higher Education,No,No,Medical and dental practice activities,3251,3251,29-1292.00,Dental Hygienists,"['29-1292.00', '31-9091.00']","['Dental Hygienists', 'Dental Assistants']",-0.5940170131427538,0.5819444444444445,Not Affected
849,Dental Laboratory Technician,"Dental Laboratory Technology Services (Fixed Dentures/Restorations) NC II, Dental Laboratory Technology Services (Removable Dentures/Appliances) NC II",Human Health and Social Work Activities,Not Higher Education,No,No,Medical and dental practice activities,3214,3214,51-9081.00,Dental Laboratory Technicians,"['29-2091.00', '29-2092.00', '51-9081.00', '51-9082.00']","['Orthotists and Prosthetists', 'Hearing Aid Specialists', 'Dental Laboratory Technicians', 'Medical Appliance Technicians']",0.004373765875141,0.7377777777777778,Not Affected
850,Dental Laboratory Assistant,Dental Laboratory Technology Services NC I,Human Health and Social Work Activities,Not Higher Education,No,No,Medical and dental practice activities,3251,3251,31-9091.00,Dental Assistants,"['29-1292.00', '31-9091.00']","['Dental Hygienists', 'Dental Assistants']",-0.5940170131427538,0.5819444444444445,Not Affected
851,Dermopigmentation/Tattoo Artist,Dermopigmentation Services Level III,"Arts, entertainment and recreation",Not Higher Education,No,No,"Creative, arts and entertainment activities",3435,3435,27-1019.00,"Artists and Related Workers, All Other","['27-1019.00', '27-2099.00', '27-3099.00', '27-4099.00', '39-3092.00', '39-3099.00']","['Artists and Related Workers, All Other', 'Entertainers and Performers, Sports and Related Workers, All Other', 'Media and Communication Workers, All Other', 'Media and Communication Equipment Workers, All Other', 'Costume Attendants', 'Entertainment Attendants and Related Workers, All Other']",-0.5572825647018668,0.5627777777777777,Not Affected
852,Diesel Power Plant Operator,"Diesel Power Plant Operation and Maintenance NC II, Diesel Power Plant Operation and Maintenance NC III","Electricity, Gas, Steam and Air Conditioning Supply",Not Higher Education,No,No,"Electric power generation, transmission and distribution",3131,3131,51-8013.00,Power Plant Operators,"['51-1011.00', '51-8011.00', '51-8012.00', '51-8013.00', '51-8013.03', '51-8013.04']","['First-Line Supervisors of Production and Operating Workers', 'Nuclear Power Reactor Operators', 'Power Distributors and Dispatchers', 'Power Plant Operators', 'Biomass Plant Technicians', 'Hydroelectric Plant Technicians']",-0.2233099161699585,0.7047222222222222,Not Affected
853,Digital Fabrication Machine Operator,Digital Fabrication Machine Operation Level III,Manufacturing,Not Higher Education,No,No,Manufacture of general purpose machinery,7223,7223,51-9161.00,Computer Numerically Controlled Tool Operators,"['51-9161.00', '51-4021.00', '51-4022.00', '51-4023.00', '51-4031.00', '51-4032.00', '51-4033.00', '51-4034.00', '51-4035.00', '51-4041.00', '51-4081.00', '51-4199.00']","['Computer Numerically Controlled Tool Operators', 'Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic', 'Forging Machine Setters, Operators, and Tenders, Metal and Plastic', 'Rolling Machine Setters, Operators, and Tenders, Metal and Plastic', 'Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic', 'Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic', 'Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic', 'Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic', 'Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic', 'Machinists', 'Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic', 'Metal Workers and Plastic Workers, All Other']",-0.7604848548728056,0.4597222222222222,Not Affected
854,Digital Marketing Specialist,Digital Marketing Level III,"Professional, Scientific and Technical Activities",Not Higher Education,No,No,Advertising,2431,2431,13-1161.00,Market Research Analysts and Marketing Specialists,"['13-1161.00', '13-1161.01', '27-3043.00', '27-3043.05']","['Market Research Analysts and Marketing Specialists', 'Search Marketing Strategists', 'Writers and Authors', 'Poets, Lyricists and Creative Writers']",1.3366137220135108,0.5569444444444445,Automated
855,Dressmaker,Dressmaking NC II,Manufacturing,Not Higher Education,No,No,Custom tailoring and dressmaking,7531,7531,51-6052.00,"Tailors, Dressmakers, and Custom Sewers",['51-6052.00'],"['Tailors, Dressmakers, and Custom Sewers']",-0.6481493237110207,0.5277777777777778,Not Affected
856,Articulated Truck Driver,Driving (Articulated Vehicle) NC III,Transportation and Storage,Not Higher Education,No,No,Other land transport,8332,8332,53-3032.00,Heavy and Tractor-Trailer Truck Drivers,"['53-1049.00', '53-3032.00']","['First-Line Supervisors of Transportation Workers, All Other', 'Heavy and Tractor-Trailer Truck Drivers']",-1.2009419361981832,0.6174999999999999,Not Affected
857,Passenger Bus Driver,Driving (Passenger Bus/Straight Truck) NC III,Transportation and Storage,Not Higher Education,No,No,Transport via buses,8331,8331,53-3052.00,"Bus Drivers, Transit and Intercity","['53-1049.00', '53-3052.00', '53-3053.00', '53-4041.00']","['First-Line Supervisors of Transportation Workers, All Other', 'Bus Drivers, Transit and Intercity', 'Shuttle Drivers and Chauffeurs', 'Subway and Streetcar Operators']",-0.7104698835262492,0.5508333333333333,Not Affected
858,Professional Driver,Driving NC II,Transportation and Storage,Not Higher Education,No,No,Other land transport,8322,8322,53-3033.00,Light Truck Drivers,"['53-1049.00', '53-3011.00', '53-3031.00', '53-3033.00', '53-3054.00']","['First-Line Supervisors of Transportation Workers, All Other', 'Ambulance Drivers and Attendants, Except Emergency Medical Technicians', 'Driver/Sales Workers', 'Light Truck Drivers', 'Taxi Drivers']",-0.9365306183983924,0.6863888888888888,Not Affected
859,Drying And Milling Plant Service Technician,Drying and Milling Plant Servicing NC III,Manufacturing,Not Higher Education,No,No,"Manufacture of grain mill products, starches and starch products",8189,8189,51-9141.00,Semiconductor Processing Technicians,"['51-9141.00', '51-9191.00', '51-9193.00', '53-7011.00']","['Semiconductor Processing Technicians', 'Adhesive Bonding Machine Operators and Tenders', 'Cooling and Freezing Equipment Operators and Tenders', 'Conveyor Operators and Tenders']",-0.7424601763102094,0.4980555555555555,Not Affected
860,Child Development Worker/Teacher,Early Childhood Care and Development Services Level III,Education,Not Higher Education,No,No,Other education services,5311,5311,39-9011.00,Childcare Workers,"['53-1044.00', '39-9011.00', '39-9011.01']","['First-Line Supervisors of Passenger Attendants', 'Childcare Workers', 'Nannies']",-0.2340304059651777,0.6052777777777777,Not Affected
861,E-Commerce Data Analyst,E-Commerce Operations Level III,Information and Communication,Not Higher Education,No,No,"Data processing, hosting and related activities; web portals",2521,2521,15-1243.01,Data Warehousing Specialists,"['15-1243.00', '15-1243.01']","['Database Architects', 'Data Warehousing Specialists']",1.2013073999660326,0.5488888888888889,Automated
862,Electric Discharge Machine-Sinking Operator,Electric Discharge Machine (EDM) Sinking Operation NC II,Manufacturing,Not Higher Education,No,No,Manufacture of other fabricated metal products; metal working service activities,7212,7212,51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders","['51-4121.00', '51-4122.00']","['Welders, Cutters, Solderers, and Brazers', 'Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders']",-1.1586581940173537,0.5119444444444444,Not Affected
863,Electric Power Distribution Line Worker,Electric Power Distribution Line Construction NC II,"Electricity, Gas, Steam and Air Conditioning Supply",Not Higher Education,No,No,"Electric power generation, transmission and distribution",7413,7413,49-9051.00,Electrical Power-Line Installers and Repairers,"['49-1011.00', '49-9051.00']","['First-Line Supervisors of Mechanics, Installers, and Repairers', 'Electrical Power-Line Installers and Repairers']",-0.1748634323778201,0.6933333333333334,Not Affected
864,Maintenance Line Worker,Electric Power Distribution Operation and Maintenance NC III,"Electricity, Gas, Steam and Air Conditioning Supply",Not Higher Education,No,No,"Electric power generation, transmission and distribution",7413,7413,49-9051.00,Electrical Power-Line Installers and Repairers,"['49-1011.00', '49-9051.00']","['First-Line Supervisors of Mechanics, Installers, and Repairers', 'Electrical Power-Line Installers and Repairers']",-0.1748634323778201,0.6933333333333334,Not Affected
865,Building-Wiring Electrician,Electrical Installation and Maintenance NC II,Construction,Not Higher Education,No,No,"Electrical, plumbing and other construction installation activities",7411,7411,47-2111.00,Electricians,"['47-2111.00', '47-2231.00']","['Electricians', 'Solar Photovoltaic Installers']",-0.9283227855044036,0.7255555555555554,Not Affected
866,Industrial Electrician,Electrical Installation and Maintenance NC III,Construction,Not Higher Education,No,No,"Electrical, plumbing and other construction installation activities",7411,7411,47-2111.00,Electricians,"['47-2111.00', '47-2231.00']","['Electricians', 'Solar Photovoltaic Installers']",-0.9283227855044036,0.7255555555555554,Not Affected
867,Electronic Products Assembler,Electronic Products Assembly and Servicing NC II,Manufacturing,Not Higher Education,No,No,Manufacture of electronic components,8212,8212,51-2022.00,Electrical and Electronic Equipment Assemblers,"['51-2021.00', '51-2022.00', '51-2023.00', '51-2061.00', '51-9194.00']","['Coil Winders, Tapers, and Finishers', 'Electrical and Electronic Equipment Assemblers', 'Electromechanical Equipment Assemblers', 'Timing Device Assemblers and Adjusters', 'Etchers and Engravers']",-0.9355984264241232,0.5452777777777779,Not Affected
868,Electronics Operator,"Electronics Back-End Operation NC II, Electronics Front-of-Line Operation NC II",Manufacturing,Not Higher Education,No,No,Manufacture of electronic components,8212,8212,51-2022.00,Electrical and Electronic Equipment Assemblers,"['51-2021.00', '51-2022.00', '51-2023.00', '51-2061.00', '51-9194.00']","['Coil Winders, Tapers, and Finishers', 'Electrical and Electronic Equipment Assemblers', 'Electromechanical Equipment Assemblers', 'Timing Device Assemblers and Adjusters', 'Etchers and Engravers']",-0.9355984264241232,0.5452777777777779,Not Affected
869,Semiconductor Machine Technician,Electronics/Semiconductor Production Line Machine Servicing NC III,Manufacturing,Not Higher Education,No,No,Manufacture of electronic components,3114,3114,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,['17-3023.00'],['Electrical and Electronic Engineering Technologists and Technicians'],0.1471846227656904,0.6161111111111112,Not Affected
870,Elevator Installer,Elevator Installation Level II,Construction,Not Higher Education,No,No,Other specialized construction activities,3115,3115,17-3027.00,Mechanical Engineering Technologists and Technicians,"['17-3021.00', '17-3024.00', '17-3024.01', '17-3027.00', '17-3027.01', '17-3029.00', '17-3029.01', '17-3029.08']","['Aerospace Engineering and Operations Technologists and Technicians', 'Electro-Mechanical and Mechatronics Technologists and Technicians', 'Robotics Technicians', 'Mechanical Engineering Technologists and Technicians', 'Automotive Engineering Technicians', 'Engineering Technologists and Technicians, Except Drafters, All Other', 'Non-Destructive Testing Specialists', 'Photonics Technicians']",0.2932456464208134,0.5980555555555556,Automated
871,Ambulance Care Assistant,Emergency Medical Services NC II,Human Health and Social Work Activities,Not Higher Education,No,No,Other human health activities,3258,3258,29-2043.00,Paramedics,['29-2043.00'],['Paramedics'],-0.0515968605484101,0.6082444444444445,Not Affected
872,First-Aider,Emergency Medical Services NC II,Human Health and Social Work Activities,Not Higher Education,No,No,"Other social work activities without accommodation, n.e.c.",5329,5329,31-2022.00,Physical Therapist Aides,"['31-1132.00', '31-2012.00', '31-2022.00', '31-9091.00', '31-9093.00', '31-9095.00', '31-9097.00', '31-9099.00', '31-9099.01', '31-9099.02']","['Orderlies', 'Occupational Therapy Aides', 'Physical Therapist Aides', 'Dental Assistants', 'Medical Equipment Preparers', 'Pharmacy Aides', 'Phlebotomists', 'Healthcare Support Workers, All Other', 'Speech-Language Pathology Assistants', 'Endoscopy Technicians']",-1.7921559227550374,0.6224999999999999,Not Affected
873,Medical First Responder,Emergency Medical Services NC II,Human Health and Social Work Activities,Not Higher Education,No,No,Medical and dental practice activities,2240,2240,29-1071.00,Physician Assistants,"['29-1071.00', '29-1071.01']","['Physician Assistants', 'Anesthesiologist Assistants']",0.1945325517086273,0.7575,Not Affected
874,Emergency Medical Technician,Emergency Medical Services NC III,Human Health and Social Work Activities,Not Higher Education,No,No,"Other social work activities without accommodation, n.e.c.",3258,3258,29-2043.00,Paramedics,['29-2043.00'],['Paramedics'],-0.0515968605484101,0.6082444444444445,Not Affected
875,Energy Conservation Officer,Energy Efficiency and Conservation Level III,"Electricity, Gas, Steam and Air Conditioning Supply",Not Higher Education,No,No,"Electric power generation, transmission and distribution",3113,3113,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,"['17-3023.00', '17-3024.00', '17-3024.01']","['Electrical and Electronic Engineering Technologists and Technicians', 'Electro-Mechanical and Mechatronics Technologists and Technicians', 'Robotics Technicians']",0.1471846227656904,0.6161111111111112,Not Affected
876,Eyelash And Eyebrow Technician,Eyelash and Eyebrow Services Level III,Other Service Activities,Not Higher Education,No,No,"Personal services for wellness, except sports activities",5142,5142,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists","['53-1044.00', '39-5012.00', '39-5091.00', '39-5092.00', '39-5093.00', '39-5094.00']","['First-Line Supervisors of Passenger Attendants', 'Hairdressers, Hairstylists, and Cosmetologists', 'Makeup Artists, Theatrical and Performance', 'Manicurists and Pedicurists', 'Shampooers', 'Skincare Specialists']",-0.7879999963529365,0.6258333333333334,Not Affected
877,Facility Cleaning Specialist,Facility Cleaning and Disinfecting Level II,Accommodation and Food Service Activities,Not Higher Education,No,No,Other accommodation,9112,9112,53-7061.00,Cleaners of Vehicles and Equipment,"['37-2011.00', '37-2012.00', '53-7061.00']","['Janitors and Cleaners, Except Maids and Housekeeping Cleaners', 'Maids and Housekeeping Cleaners', 'Cleaners of Vehicles and Equipment']",-1.5455201611166942,0.5955555555555555,Not Affected
878,Farm Equipment Fabricator,Farm Equipment Fabrication (Precision Rice Seeder) Level II,Manufacturing,Not Higher Education,No,No,"Manufacture of structural metal products, tanks, reservoirs and steam generators",7233,7233,49-3041.00,Farm Equipment Mechanics and Service Technicians,"['49-1011.00', '49-3041.00', '49-3042.00', '49-3043.00', '49-9041.00', '49-9043.00', '49-9044.00', '49-9045.00', '49-9081.00']","['First-Line Supervisors of Mechanics, Installers, and Repairers', 'Farm Equipment Mechanics and Service Technicians', 'Mobile Heavy Equipment Mechanics, Except Engines', 'Rail Car Repairers', 'Industrial Machinery Mechanics', 'Maintenance Workers, Machinery', 'Millwrights', 'Refractory Materials Repairers, Except Brickmasons', 'Wind Turbine Service Technicians']",-0.1748634323778201,0.6933333333333334,Not Affected
879,Fashion Designer,Fashion Design (Apparel) NC III,Manufacturing,Not Higher Education,No,No,"Manufacture of wearing apparel, except fur apparel",2163,2163,27-1022.00,Fashion Designers,"['27-1021.00', '27-1022.00', '27-1029.00']","['Commercial and Industrial Designers', 'Fashion Designers', 'Designers, All Other']",0.7728061761076767,0.6155555555555555,Automated
880,Filipino Sign Language Interpreter,Filipino Sign Language Services Level II,Other Service Activities,Not Higher Education,No,No,"Other personal service activities, n.e.c.",2643,2643,27-3091.00,Interpreters and Translators,"['19-3099.00', '19-3099.01', '27-3091.00']","['Social Scientists and Related Workers, All Other', 'Transportation Planners', 'Interpreters and Translators']",1.2714488780375863,0.5886111111111111,Automated
881,Audio Post Specialist,Film and Video Postproduction Level III,Information and Communication,Not Higher Education,No,No,"Motion picture, video and television programme activities",2654,2654,27-2012.05,Media Technical Directors/Managers,"['27-1011.00', '27-2012.00', '27-2012.03', '27-2012.04', '27-2012.05', '27-4032.00']","['Art Directors', 'Producers and Directors', 'Media Programming Directors', 'Talent Directors', 'Media Technical Directors/Managers', 'Film and Video Editors']",0.9032517042089035,0.5588888888888889,Automated
882,Motion Graphics Artist,Film and Video Postproduction Level III,"Arts, Entertainment and Recreation",Not Higher Education,No,No,"Creative, arts and entertainment activities",2651,2651,27-1012.00,Craft Artists,"['27-1012.00', '27-1013.00']","['Craft Artists', 'Fine Artists, Including Painters, Sculptors, and Illustrators']",-0.9646161941936396,0.4680555555555555,Not Affected
883,Postproduction Assistant,Film and Video Postproduction Level III,Information and Communication,Not Higher Education,No,No,"Motion picture, video and television programme activities",2654,2654,27-4032.00,Film and Video Editors,"['27-1011.00', '27-2012.00', '27-2012.03', '27-2012.04', '27-2012.05', '27-4032.00']","['Art Directors', 'Producers and Directors', 'Media Programming Directors', 'Talent Directors', 'Media Technical Directors/Managers', 'Film and Video Editors']",0.9032517042089035,0.5588888888888889,Automated
884,Video Post-Production Editor,Film and Video Postproduction NC III,Information and Communication,Not Higher Education,No,No,"Motion picture, video and television programme activities",2654,2654,27-4032.00,Film and Video Editors,"['27-1011.00', '27-2012.00', '27-2012.03', '27-2012.04', '27-2012.05', '27-4032.00']","['Art Directors', 'Producers and Directors', 'Media Programming Directors', 'Talent Directors', 'Media Technical Directors/Managers', 'Film and Video Editors']",0.9032517042089035,0.5588888888888889,Automated
