,,,,,,,,,,,,,,,,
Program with corresponding TVET Program,,,,,,,,,Year 2,,,,Year 3,,,
Importing 2.1,Region,Sector,Subsector,Job Requirement,Programs,"Program
Type","Supply
Gap",,Supply Gap (%),Target Beneficiaries,,,Supply Gap (%),Target Beneficiaries,,
REGION_VII|CONSTRUCTION|VERTICAL INDUSTRIAL RESIDENTIAL DIRECT WORKS|SCAFFOLDER|SCAFFOLDING WORKS NC II (SUPPORTED TYPE SCAFFOLD)|WITH TR,REGION_VII,CONSTRUCTION,VERTICAL INDUSTRIAL RESIDENTIAL DIRECT WORKS,SCAFFOLDER,SCAFFOLDING WORKS NC II (SUPPORTED TYPE SCAFFOLD),WITH TR,"2,178",,538,378,160,538,814,564,250,814
REGION_VII|CONSTRUCTION|VERTICAL INDUSTRIAL RESIDENTIAL DIRECT WORKS|WELDER (STRUCTURAL)|FLUX-CORED ARC WELDING (FCAW) NC II|WITH TR,REGION_VII,CONSTRUCTION,VERTICAL INDUSTRIAL RESIDENTIAL DIRECT WORKS,WELDER (STRUCTURAL),FLUX-CORED ARC WELDING (FCAW) NC II,WITH TR,"3,164",,"1,232",812,420,"1,232",907,588,319,907
REGION_VII|CONSTRUCTION|VERTICAL INDUSTRIAL RESIDENTIAL DIRECT WORKS|WELDER (STRUCTURAL)|GAS TUNGSTEN ARC WELDING (GTAW) NC II|WITH TR,REGION_VII,CONSTRUCTION,VERTICAL INDUSTRIAL RESIDENTIAL DIRECT WORKS,WELDER (STRUCTURAL),GAS TUNGSTEN ARC WELDING (GTAW) NC II,WITH TR,"5,789",,"2,524","1,684",840,"2,524","1,716","1,031",685,"1,716"
REGION_VII|CONSTRUCTION|VERTICAL INDUSTRIAL RESIDENTIAL DIRECT WORKS|WELDER (STRUCTURAL)|MANUAL METAL ARC WELDING (MMAW) NC II|WITH TR,REGION_VII,CONSTRUCTION,VERTICAL INDUSTRIAL RESIDENTIAL DIRECT WORKS,WELDER (STRUCTURAL),MANUAL METAL ARC WELDING (MMAW) NC II,WITH TR,"8,499",,"4,250","2,566","1,684","4,250","2,125","1,246",879,"2,125"
"REGION_VII|CONSTRUCTION|VERTICAL INDUSTRIAL RESIDENTIAL PROJECT MANAGEMENT|SCAFFOLDER (INSPECTION, QUALITY ASSURANCE)|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING",REGION_VII,CONSTRUCTION,VERTICAL INDUSTRIAL RESIDENTIAL PROJECT MANAGEMENT,"SCAFFOLDER (INSPECTION, QUALITY ASSURANCE)",NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,"1,367",,273,162,111,273,478,263,215,478
REGION_VII|CREATIVE SECTOR|CIRCUS LIVE EVENTS|PERFORMER (MAGICIAN)|PERFORMING ARTS (MAGICIAN) NC II|WITH TR,REGION_VII,CREATIVE SECTOR,CIRCUS LIVE EVENTS,PERFORMER (MAGICIAN),PERFORMING ARTS (MAGICIAN) NC II,WITH TR,"1,267",,253,177,76,253,443,286,157,443
REGION_VII|CREATIVE SECTOR|DANCE LIVE MUSIC MUSICAL THEATER LIVE EVENTS|PERFORMER (BALLROOM DANCER)|PERFORMING ARTS (BALLROOM DANCING) NC II|WITH TR,REGION_VII,CREATIVE SECTOR,DANCE LIVE MUSIC MUSICAL THEATER LIVE EVENTS,PERFORMER (BALLROOM DANCER),PERFORMING ARTS (BALLROOM DANCING) NC II,WITH TR,"1,267",,253,177,76,253,443,286,157,443
REGION_VII|CREATIVE SECTOR|DANCE LIVE MUSIC MUSICAL THEATER LIVE EVENTS|PERFORMER (DANCER)|PERFORMING ARTS (DANCE) NC II|WITH TR,REGION_VII,CREATIVE SECTOR,DANCE LIVE MUSIC MUSICAL THEATER LIVE EVENTS,PERFORMER (DANCER),PERFORMING ARTS (DANCE) NC II,WITH TR,"1,267",,253,177,76,253,443,286,157,443
REGION_VII|CREATIVE SECTOR|DESIGN CREATIVE|EVENTS COORDINATOR|EVENTS MANAGEMENT SERVICES NC III|WITH TR,REGION_VII,CREATIVE SECTOR,DESIGN CREATIVE,EVENTS COORDINATOR,EVENTS MANAGEMENT SERVICES NC III,WITH TR,"4,652",,"1,786",987,799,"1,786","1,572",921,651,"1,572"
REGION_VII|CREATIVE SECTOR|GASTRONOMY|SERVER|FOOD AND BEVERAGE SERVICES NC II|WITH TR,REGION_VII,CREATIVE SECTOR,GASTRONOMY,SERVER,FOOD AND BEVERAGE SERVICES NC II,WITH TR,"5,805",,"2,576","1,738",838,"2,576","1,697","1,101",596,"1,697"
REGION_VII|CREATIVE SECTOR|GRAPHIC DESIGNING|ANIMATOR|2D ANIMATION NC III|WITH TR,REGION_VII,CREATIVE SECTOR,GRAPHIC DESIGNING,ANIMATOR,2D ANIMATION NC III,WITH TR,867,,173,97,76,173,303,198,105,303
REGION_VII|CREATIVE SECTOR|GRAPHIC DESIGNING|VISUAL GRAPHIC MULTIMEDIA ARTIST|VISUAL GRAPHIC DESIGN NC III|WITH TR,REGION_VII,CREATIVE SECTOR,GRAPHIC DESIGNING,VISUAL GRAPHIC MULTIMEDIA ARTIST,VISUAL GRAPHIC DESIGN NC III,WITH TR,"3,277",,984,483,501,984,"1,313",691,572,"1,263"
REGION_VII|CREATIVE SECTOR|LIVE MUSIC MUSICAL THEATER LIVE EVENTS OPERA|PERFORMER (SINGER)|PERFORMING ARTS (SONG) NC II|WITH TR,REGION_VII,CREATIVE SECTOR,LIVE MUSIC MUSICAL THEATER LIVE EVENTS OPERA,PERFORMER (SINGER),PERFORMING ARTS (SONG) NC II,WITH TR,"1,267",,253,177,76,253,443,286,157,443
REGION_VII|CREATIVE SECTOR|PHOTOGRAPHY|FILM AND PHOTOGRAPHY SKILLS/ PROFESSIONAL PHOTOGRAPHER|PHOTOGRAPHY NC II|WITH TR,REGION_VII,CREATIVE SECTOR,PHOTOGRAPHY,FILM AND PHOTOGRAPHY SKILLS/ PROFESSIONAL PHOTOGRAPHER,PHOTOGRAPHY NC II,WITH TR,"1,267",,253,182,71,253,443,296,147,443
REGION_VII|CREATIVE SECTOR|TEXTILE DEVELOPMENT|HANDLOOM WEAVER|HANDLOOM WEAVING (UPRIGHT) NC II|WITH TR,REGION_VII,CREATIVE SECTOR,TEXTILE DEVELOPMENT,HANDLOOM WEAVER,HANDLOOM WEAVING (UPRIGHT) NC II,WITH TR,100,,20,10,10,20,35,20,15,35
REGION_VII|CREATIVE SECTOR|VLOGS|VIDEO EDITOR|FILM AND VIDEO POSTPRODUCTION LEVEL III|WITH CS,REGION_VII,CREATIVE SECTOR,VLOGS,VIDEO EDITOR,FILM AND VIDEO POSTPRODUCTION LEVEL III,WITH CS,"1,267",,253,177,76,253,443,233,210,443
"REGION_VII|ELECTRICAL & ELECTRONICS|ELECTRICAL AND ELECTRONICS|MACHINES OPERATOR, WELDER/FABRICATOR, MECHANICAL TECHNICIAN, CAD/CAM OPERATOR, CNC LATHE PROGRAMMER, CNC MILLING PROGRAMMER, ASSISTANT SUPERVISOR, ASSISTANT TRAINER, ENTREPRENEUR|DIPLOMA PROGRAM IN ELECTRICAL TECHNOLOGY|DIPLOMA PROGRAMS",REGION_VII,ELECTRICAL & ELECTRONICS,ELECTRICAL AND ELECTRONICS,"MACHINES OPERATOR, WELDER/FABRICATOR, MECHANICAL TECHNICIAN, CAD/CAM OPERATOR, CNC LATHE PROGRAMMER, CNC MILLING PROGRAMMER, ASSISTANT SUPERVISOR, ASSISTANT TRAINER, ENTREPRENEUR",DIPLOMA PROGRAM IN ELECTRICAL TECHNOLOGY,DIPLOMA PROGRAMS,"1,609",,448,311,137,448,568,293,240,533
REGION_VII|ELECTRICAL & ELECTRONICS|INDUSTRIAL AUTOMATION|MECHATRONICS AND AUTOMATION TECHNICIAN|MECHATRONICS SERVICING NC II|WITH TR,REGION_VII,ELECTRICAL & ELECTRONICS,INDUSTRIAL AUTOMATION,MECHATRONICS AND AUTOMATION TECHNICIAN,MECHATRONICS SERVICING NC II,WITH TR,"3,011",,"1,303",500,803,"1,303",830,347,483,830
REGION_VII|ENERGY|DESIGNATED ESTABLISHMENTS|TECHNICAL SUPPORT STAFF OF CERTIFIED ENERGY MANAGER|ENERGY EFFICIENCY AND CONSERVATION LEVEL III|WITH CS,REGION_VII,ENERGY,DESIGNATED ESTABLISHMENTS,TECHNICAL SUPPORT STAFF OF CERTIFIED ENERGY MANAGER,ENERGY EFFICIENCY AND CONSERVATION LEVEL III,WITH CS,"1,367",,273,157,116,273,478,203,275,478
"REGION_VII|ENERGY|EV CHARGING EQUIPMENT, ASSEMBLY, INSTALLATION AND SALES|EVSE INSTALLATION TECHNICIAN|ELECTRICAL INSTALLATION AND MAINTENANCE NC II|WITH TR",REGION_VII,ENERGY,"EV CHARGING EQUIPMENT, ASSEMBLY, INSTALLATION AND SALES",EVSE INSTALLATION TECHNICIAN,ELECTRICAL INSTALLATION AND MAINTENANCE NC II,WITH TR,"7,655",,"3,704","3,260",444,"3,704","2,010","1,888",122,"2,010"
REGION_VII|ENERGY|EV CHARGING STATION OPERATION|CHARGING FACILITY MANAGER/SAFETY OFFICER|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,ENERGY,EV CHARGING STATION OPERATION,CHARGING FACILITY MANAGER/SAFETY OFFICER,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,"1,367",,273,132,141,273,478,210,268,478
REGION_VII|ENERGY|EV CHARGING STATION OPERATION|CHARGING SERVICE PERSONNEL|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,ENERGY,EV CHARGING STATION OPERATION,CHARGING SERVICE PERSONNEL,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,"1,367",,273,132,141,273,478,210,268,478
REGION_VII|ENERGY|EV CHARGING STATION OPERATION|EVSE REPAIR AND MAINTENANCE|ELECTRICAL INSTALLATION AND MAINTENANCE NC II|WITH TR,REGION_VII,ENERGY,EV CHARGING STATION OPERATION,EVSE REPAIR AND MAINTENANCE,ELECTRICAL INSTALLATION AND MAINTENANCE NC II,WITH TR,"7,655",,"3,704","3,260",444,"3,704","2,010","1,888",122,"2,010"
REGION_VII|ENERGY|EV CHARGING STATION OPERATION|TECHNICAL SUPPORT ASSOCIATE (FOE SELF-SERVICE CHARGING)|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,ENERGY,EV CHARGING STATION OPERATION,TECHNICAL SUPPORT ASSOCIATE (FOE SELF-SERVICE CHARGING),NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,"4,275",,"1,284",362,922,"1,284","1,713",596,"1,117","1,713"
REGION_VII|ENERGY|EV FLEET OPERATIONS (E.G. PUBLIC/PRIVATE TRANSPORT COOPERATIVES)|EV DRIVER|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,ENERGY,EV FLEET OPERATIONS (E.G. PUBLIC/PRIVATE TRANSPORT COOPERATIVES),EV DRIVER,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,"1,367",,273,137,136,273,478,210,268,478
REGION_VII|ENERGY|EV MANUFACTURING|EV ELECTRICAL ASSEMBLY|AUTOMOTIVE ELECTRICAL ASSEMBLY NC III|WITH TR,REGION_VII,ENERGY,EV MANUFACTURING,EV ELECTRICAL ASSEMBLY,AUTOMOTIVE ELECTRICAL ASSEMBLY NC III,WITH TR,"4,275",,"1,284",637,647,"1,284","1,713",846,867,"1,713"
REGION_VII|ENERGY|EV MANUFACTURING|EV MECHANICAL ASSEMBLY PERSONNEL|AUTOMOTIVE MECHANICAL ASSEMBLY NC II|WITH TR,REGION_VII,ENERGY,EV MANUFACTURING,EV MECHANICAL ASSEMBLY PERSONNEL,AUTOMOTIVE MECHANICAL ASSEMBLY NC II,WITH TR,"4,275",,"1,284",612,672,"1,284","1,713",796,917,"1,713"
REGION_VII|ENERGY|EV MANUFACTURING|EV TEST TECHNICIAN|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,ENERGY,EV MANUFACTURING,EV TEST TECHNICIAN,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,"1,367",,273,122,151,273,478,188,290,478
REGION_VII|ENERGY|EV MANUFACTURING|EVSE ELECTRICAL SUPPLY SYSTEM DESIGNER|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,ENERGY,EV MANUFACTURING,EVSE ELECTRICAL SUPPLY SYSTEM DESIGNER,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,"1,367",,273,122,151,273,478,188,290,478
REGION_VII|ENERGY|EV SERVICING AND MAINTENANCE (FOR PRIVATE/PUBLIC VEHICLES)|EV ELECTRICAL SERVICE TECHNICIAN|AUTOMOTIVE SERVICING (ELECTRICAL REPAIR) NC II|WITH TR,REGION_VII,ENERGY,EV SERVICING AND MAINTENANCE (FOR PRIVATE/PUBLIC VEHICLES),EV ELECTRICAL SERVICE TECHNICIAN,AUTOMOTIVE SERVICING (ELECTRICAL REPAIR) NC II,WITH TR,"4,275",,"1,284",637,647,"1,284","1,713",846,867,"1,713"
REGION_VII|ENERGY|EV SERVICING AND MAINTENANCE (FOR PRIVATE/PUBLIC VEHICLES)|EV MECHANICAL SERVICE TECHNICIAN|AUTOMOTIVE SERVICING NC I|WITH TR,REGION_VII,ENERGY,EV SERVICING AND MAINTENANCE (FOR PRIVATE/PUBLIC VEHICLES),EV MECHANICAL SERVICE TECHNICIAN,AUTOMOTIVE SERVICING NC I,WITH TR,"5,185",,"1,953",787,"1,166","1,953","1,780",715,"1,065","1,780"
REGION_VII|ENERGY|SOLAR|SOLAR INSTALLER|PV SYSTEMS INSTALLATION NC II|WITH TR,REGION_VII,ENERGY,SOLAR,SOLAR INSTALLER,PV SYSTEMS INSTALLATION NC II,WITH TR,"4,871",,"1,658","1,193",465,"1,658","1,741","1,183",558,"1,741"
"REGION_VII|FURNITURE AND FIXTURES|DESIGN AND CREATIVE DOMAIN|MACHINES OPERATOR, FURNITURE MAKER/ASSEMBLER, FURNITURE FINISHER, CABINET MAKER/ASSEMBLER, CAD OPERATOR, CNC MILLING PROGRAMMER, ASSISTANT SUPERVISOR, ASSISTANT TRAINER, ENTREPRENEUR|DIPLOMA PROGRAM IN FURNITURE MAKING TECHNOLOGY|DIPLOMA PROGRAMS",REGION_VII,FURNITURE AND FIXTURES,DESIGN AND CREATIVE DOMAIN,"MACHINES OPERATOR, FURNITURE MAKER/ASSEMBLER, FURNITURE FINISHER, CABINET MAKER/ASSEMBLER, CAD OPERATOR, CNC MILLING PROGRAMMER, ASSISTANT SUPERVISOR, ASSISTANT TRAINER, ENTREPRENEUR",DIPLOMA PROGRAM IN FURNITURE MAKING TECHNOLOGY,DIPLOMA PROGRAMS,"1,609",,448,311,137,448,568,293,240,533
REGION_VII|GARMENTS|FASHION DESIGN|BEADS SEWER|FASHION DESIGN (APPAREL) NC III|WITH TR,REGION_VII,GARMENTS,FASHION DESIGN,BEADS SEWER,FASHION DESIGN (APPAREL) NC III,WITH TR,"1,413",,707,531,176,707,353,265,88,353
REGION_VII|GARMENTS|FASHION DESIGN|GOWN DESIGNERS|FASHION DESIGN (APPAREL) NC III|WITH TR,REGION_VII,GARMENTS,FASHION DESIGN,GOWN DESIGNERS,FASHION DESIGN (APPAREL) NC III,WITH TR,"1,704",,853,631,222,853,426,315,111,426
REGION_VII|GARMENTS|GARMENT PRODUCITON|PANTS SEWER|TAILORING NC II|WITH TR,REGION_VII,GARMENTS,GARMENT PRODUCITON,PANTS SEWER,TAILORING NC II,WITH TR,"1,702",,852,630,222,852,426,315,111,426
REGION_VII|GARMENTS|GARMENT PRODUCITON|POLO SEWER|DRESSMAKING NC II|WITH TR,REGION_VII,GARMENTS,GARMENT PRODUCITON,POLO SEWER,DRESSMAKING NC II,WITH TR,"1,699",,851,629,222,851,425,314,111,425
REGION_VII|GARMENTS|GARMENT PRODUCITON|T SHIRT SEWERS|DRESSMAKING NC II|WITH TR,REGION_VII,GARMENTS,GARMENT PRODUCITON,T SHIRT SEWERS,DRESSMAKING NC II,WITH TR,"1,699",,851,630,221,851,425,314,111,425
"REGION_VII|GARMENTS|GARMENT PRODUCTION, T-SHIRT, POLO, PANT SEWING|SEWER|TAILORING NC II|WITH TR",REGION_VII,GARMENTS,"GARMENT PRODUCTION, T-SHIRT, POLO, PANT SEWING",SEWER,TAILORING NC II,WITH TR,"1,702",,852,630,222,852,426,315,111,426
REGION_VII|GARMENTS|GARMENTS|FASHION DESIGNER (APPAREL)|FASHION DESIGN (APPAREL) NC III|WITH TR,REGION_VII,GARMENTS,GARMENTS,FASHION DESIGNER (APPAREL),FASHION DESIGN (APPAREL) NC III,WITH TR,"4,992",,"1,800",891,909,"1,800","1,775",817,958,"1,775"
"REGION_VII|HEATING, VENTILATION, AIRCONDITIONING AND REFRIGERATION|AFTERSALES & SERVICES|REFRIGERATION & AIRCONDITIONING TECHNICIANS|RAC SERVICING (DOMRAC) NC II|WITH TR",REGION_VII,"HEATING, VENTILATION, AIRCONDITIONING AND REFRIGERATION",AFTERSALES & SERVICES,REFRIGERATION & AIRCONDITIONING TECHNICIANS,RAC SERVICING (DOMRAC) NC II,WITH TR,"1,699",,850,631,219,850,425,315,110,425
"REGION_VII|HEATING, VENTILATION, AIRCONDITIONING AND REFRIGERATION|INDUSTRIAL REFRIGERATION PLANT OPERATOR, INDUSTRIAL REFRIGERATION PLANT TECHNICIAN|REFRIGERATION & AIRCONDITIONING TECHNICIANS|INDUSTRIAL REFRIGERATION OPERATION & MAINTENANCE LEVEL III|WITH CS",REGION_VII,"HEATING, VENTILATION, AIRCONDITIONING AND REFRIGERATION","INDUSTRIAL REFRIGERATION PLANT OPERATOR, INDUSTRIAL REFRIGERATION PLANT TECHNICIAN",REFRIGERATION & AIRCONDITIONING TECHNICIANS,INDUSTRIAL REFRIGERATION OPERATION & MAINTENANCE LEVEL III,WITH CS,"1,704",,853,631,222,853,426,315,111,426
"REGION_VII|HEATING, VENTILATION, AIRCONDITIONING AND REFRIGERATION|REPAIR AND INSTALLATION|WELDER|GAS WELDING NC I|WITH TR",REGION_VII,"HEATING, VENTILATION, AIRCONDITIONING AND REFRIGERATION",REPAIR AND INSTALLATION,WELDER,GAS WELDING NC I,WITH TR,"1,704",,853,631,222,853,426,315,111,426
"REGION_VII|HUMAN HEALTH / HEALTH CARE|HEALTH CARE FACILITIES|AMBULANCE CARE ASSISTANT
EMERGENCY MEDICAL TECHNICIAN
FIRST AID ATTENDANTS
MEDICAL FIRST RESPONDER|EMERGENCY MEDICAL SERVICES NC II|WITH TR",REGION_VII,HUMAN HEALTH / HEALTH CARE,HEALTH CARE FACILITIES,"AMBULANCE CARE ASSISTANT
EMERGENCY MEDICAL TECHNICIAN
FIRST AID ATTENDANTS
MEDICAL FIRST RESPONDER",EMERGENCY MEDICAL SERVICES NC II,WITH TR,"2,025",,770,257,513,770,587,298,289,587
"REGION_VII|HUMAN HEALTH / HEALTH CARE|HEALTH CARE FACILITIES|AMBULANCE CARE ASSISTANT
EMERGENCY MEDICAL TECHNICIAN
FIRST AID ATTENDANTS
MEDICAL FIRST RESPONDER|EMERGENCY MEDICAL SERVICES NC III|WITH TR",REGION_VII,HUMAN HEALTH / HEALTH CARE,HEALTH CARE FACILITIES,"AMBULANCE CARE ASSISTANT
EMERGENCY MEDICAL TECHNICIAN
FIRST AID ATTENDANTS
MEDICAL FIRST RESPONDER",EMERGENCY MEDICAL SERVICES NC III,WITH TR,"1,367",,273,187,86,273,478,266,212,478
REGION_VII|HUMAN HEALTH / HEALTH CARE|HEALTH CARE FACILITIES|BIOMED TECHNICIANS|BIOMEDICAL EQUIPMENT SERVICING NC II|WITH TR,REGION_VII,HUMAN HEALTH / HEALTH CARE,HEALTH CARE FACILITIES,BIOMED TECHNICIANS,BIOMEDICAL EQUIPMENT SERVICING NC II,WITH TR,"1,367",,273,157,116,273,478,251,227,478
REGION_VII|HUMAN HEALTH / HEALTH CARE|HEALTH CARE FACILITIES|CAREGIVER ASSISTANTS|CAREGIVING (CLIENTS WITH SPECIAL NEEDS) NC II|WITH TR,REGION_VII,HUMAN HEALTH / HEALTH CARE,HEALTH CARE FACILITIES,CAREGIVER ASSISTANTS,CAREGIVING (CLIENTS WITH SPECIAL NEEDS) NC II,WITH TR,"1,428",,342,277,65,342,528,426,102,528
REGION_VII|HUMAN HEALTH / HEALTH CARE|HEALTH CARE FACILITIES|CAREGIVER ASSISTANTS|CAREGIVING (ELDERLY) NC II|WITH TR,REGION_VII,HUMAN HEALTH / HEALTH CARE,HEALTH CARE FACILITIES,CAREGIVER ASSISTANTS,CAREGIVING (ELDERLY) NC II,WITH TR,"4,433",,"1,378",867,511,"1,378","1,741","1,106",635,"1,741"
REGION_VII|HUMAN HEALTH / HEALTH CARE|HEALTH CARE FACILITIES|CAREGIVER ASSISTANTS|CAREGIVING (GRADE SCHOOLER TO ADOLESCENT) NC II|WITH TR,REGION_VII,HUMAN HEALTH / HEALTH CARE,HEALTH CARE FACILITIES,CAREGIVER ASSISTANTS,CAREGIVING (GRADE SCHOOLER TO ADOLESCENT) NC II,WITH TR,"4,275",,"1,284",787,497,"1,284","1,713","1,071",642,"1,713"
REGION_VII|HUMAN HEALTH / HEALTH CARE|HEALTH CARE FACILITIES|CAREGIVER ASSISTANTS|CAREGIVING (NEWBORN TO PRE-SCHOOLER) NC II|WITH TR,REGION_VII,HUMAN HEALTH / HEALTH CARE,HEALTH CARE FACILITIES,CAREGIVER ASSISTANTS,CAREGIVING (NEWBORN TO PRE-SCHOOLER) NC II,WITH TR,"4,275",,"1,284",787,497,"1,284","1,713","1,071",642,"1,713"
REGION_VII|HUMAN HEALTH / HEALTH CARE|HEALTH CARE FACILITIES|CODERS|MEDICAL CODING AND CLAIMS PROCESSING NC III|WITH TR,REGION_VII,HUMAN HEALTH / HEALTH CARE,HEALTH CARE FACILITIES,CODERS,MEDICAL CODING AND CLAIMS PROCESSING NC III,WITH TR,"1,421",,305,169,136,305,508,246,262,508
"REGION_VII|HUMAN HEALTH / HEALTH CARE|HEALTH CARE FACILITIES|DENTAL ASSISTANT
DENTAL HYGIENIST
DENTAL AIDE|DENTAL ASSISTANT COURSE|NEW AND EMERGING",REGION_VII,HUMAN HEALTH / HEALTH CARE,HEALTH CARE FACILITIES,"DENTAL ASSISTANT
DENTAL HYGIENIST
DENTAL AIDE",DENTAL ASSISTANT COURSE,NEW AND EMERGING,"2,278",,757,187,570,757,699,402,297,699
REGION_VII|HUMAN HEALTH / HEALTH CARE|HEALTH CARE FACILITIES|MEDICAL AUXILLIARY SUPPORT|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,HUMAN HEALTH / HEALTH CARE,HEALTH CARE FACILITIES,MEDICAL AUXILLIARY SUPPORT,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,"7,599",,"3,770",636,"3,134","3,770","1,910",456,"1,704","2,160"
REGION_VII|HUMAN HEALTH / HEALTH CARE|HEALTH CARE FACILITIES|MEDICAL TRANSCRIPTION EDITOR|MEDICAL TRANSCRIPTION NC II|WITH TR,REGION_VII,HUMAN HEALTH / HEALTH CARE,HEALTH CARE FACILITIES,MEDICAL TRANSCRIPTION EDITOR,MEDICAL TRANSCRIPTION NC II,WITH TR,"1,359",,272,177,95,272,476,258,200,458
REGION_VII|HUMAN HEALTH / HEALTH CARE|HEALTH CARE FACILITIES|NURSES HEALTHCARE SERVICE WORKER|HEALTH CARE SERVICES NC II|WITH TR,REGION_VII,HUMAN HEALTH / HEALTH CARE,HEALTH CARE FACILITIES,NURSES HEALTHCARE SERVICE WORKER,HEALTH CARE SERVICES NC II,WITH TR,"5,827",,"2,389","1,459",930,"2,389","1,854","1,165",689,"1,854"
REGION_VII|HUMAN HEALTH / HEALTH CARE|HEALTH CARE FACILITIES|PHARMACISTS PHARMACY ASSISTANT|PHARMACY SERVICES NC III|WITH TR,REGION_VII,HUMAN HEALTH / HEALTH CARE,HEALTH CARE FACILITIES,PHARMACISTS PHARMACY ASSISTANT,PHARMACY SERVICES NC III,WITH TR,"1,366",,273,202,71,273,478,348,130,478
REGION_VII|HUMAN HEALTH / HEALTH CARE|HEALTH INFORMATION MANAGEMENT SERVICES|CONTACT TRACER|CONTACT TRACING LEVEL II|WITH CS,REGION_VII,HUMAN HEALTH / HEALTH CARE,HEALTH INFORMATION MANAGEMENT SERVICES,CONTACT TRACER,CONTACT TRACING LEVEL II,WITH CS,"2,636",,"1,121",186,935,"1,121",725,240,485,725
REGION_VII|HUMAN HEALTH / HEALTH CARE|HEALTH WORKERS|BARANGAY HEALTH WORKERS|BARANGAY HEALTH SERVICES NC II|WITH TR,REGION_VII,HUMAN HEALTH / HEALTH CARE,HEALTH WORKERS,BARANGAY HEALTH WORKERS,BARANGAY HEALTH SERVICES NC II,WITH TR,"1,704",,853,631,222,853,426,315,111,426
REGION_VII|HUMAN HEALTH / HEALTH CARE|HEALTH WORKERS|CAREGIVERS|CAREGIVING NC II|WITH TR,REGION_VII,HUMAN HEALTH / HEALTH CARE,HEALTH WORKERS,CAREGIVERS,CAREGIVING NC II,WITH TR,"1,658",,830,614,216,830,415,307,108,415
REGION_VII|HUMAN HEALTH / HEALTH CARE|HEALTH WORKERS|HEALTHCARE WORKER|HEALTH CARE SERVICES NC II|WITH TR,REGION_VII,HUMAN HEALTH / HEALTH CARE,HEALTH WORKERS,HEALTHCARE WORKER,HEALTH CARE SERVICES NC II,WITH TR,"1,699",,851,630,221,851,425,314,111,425
"REGION_VII|HUMAN HEALTH / HEALTH CARE|MASSEURS, HILOT WORKERS|MASSAGE THERAPIST|MASSAGE THERAPY NC II|WITH TR",REGION_VII,HUMAN HEALTH / HEALTH CARE,"MASSEURS, HILOT WORKERS",MASSAGE THERAPIST,MASSAGE THERAPY NC II,WITH TR,"1,704",,853,631,222,853,426,315,111,426
"REGION_VII|HUMAN HEALTH / HEALTH CARE|PRIMARY CARE FACILITIES, HEALTH CARE FACILITIES|ADMINISTRATIVE ASSISTANT|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING",REGION_VII,HUMAN HEALTH / HEALTH CARE,"PRIMARY CARE FACILITIES, HEALTH CARE FACILITIES",ADMINISTRATIVE ASSISTANT,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,"8,499",,"4,250",600,"3,650","4,250","2,125",400,"1,725","2,125"
"REGION_VII|HUMAN HEALTH / HEALTH CARE|PRIMARY CARE FACILITIES, HEALTH CARE FACILITIES|CAREGIVER ASSISTANTS|CAREGIVING NC II|WITH TR",REGION_VII,HUMAN HEALTH / HEALTH CARE,"PRIMARY CARE FACILITIES, HEALTH CARE FACILITIES",CAREGIVER ASSISTANTS,CAREGIVING NC II,WITH TR,"6,378",,"2,793","1,867",926,"2,793","1,895","1,271",624,"1,895"
"REGION_VII|HUMAN HEALTH / HEALTH CARE|PRIMARY CARE FACILITIES, HEALTH CARE FACILITIES|DENTAL ASSISTANT
DENTAL HYGIENIST
DENTAL AIDE|DENTAL HYGIENE LEVEL IV|WITH CS",REGION_VII,HUMAN HEALTH / HEALTH CARE,"PRIMARY CARE FACILITIES, HEALTH CARE FACILITIES","DENTAL ASSISTANT
DENTAL HYGIENIST
DENTAL AIDE",DENTAL HYGIENE LEVEL IV,WITH CS,"1,367",,273,177,96,273,478,231,247,478
