Identifier,Region,NTESDP Strategic Pillar Compenents,Output,Possible Funding Sources,List of Accomplishments,Accomplishments,PHYSICAL TARGETS,,,,,Accomplishments,FUNDING REQUIREMENTS,,,,
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|SSP|Number of database updated ",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",SSP,Number of database updated ,,1,1,1,1,1,5,"5,000","6,564","6,564","6,564","6,564","31,256"
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|Establishment of ITB's|",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",Establishment of ITB's,,,0,0,1,0,0,1,0,0,"100,000",0,0,"100,000"
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|Establishment of ITB's|HOTEL, RESORT AND RESTAURANT ASSOCIATION OF CEBU, INC.",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",Establishment of ITB's,"HOTEL, RESORT AND RESTAURANT ASSOCIATION OF CEBU, INC.",,1,1,2,1,1,6,0,0,"100,000",0,0,"100,000"
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of awareness building workshop and targeted outreach program to promote TVET opportunities,innovation and entrepreneurships|SSP",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained","No. of awareness building workshop and targeted outreach program to promote TVET opportunities,innovation and entrepreneurships",SSP,,0,2,2,3,0,7,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of CTECs capacitated|",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",No. of CTECs capacitated,,,0,2,0,0,0,2,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of CTECs capacitated|CAPACITATED THE CTEC OF LAPU-LAPU CITY",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",No. of CTECs capacitated,CAPACITATED THE CTEC OF LAPU-LAPU CITY,,1,0,0,0,0,1,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of CTECs capacitated|LGU FUNDS",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",No. of CTECs capacitated,LGU FUNDS,CTEC OF MANDAUE CITY,1,0,0,0,0,1,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of CTECs capacitated|MOOE, LGU FUNDS",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",No. of CTECs capacitated,"MOOE, LGU FUNDS","LGU ALCANTARA, LGU ALEGRIA",2,1,1,1,1,6,0,"2,000","2,000","2,000","2,000","8,000"
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of CTECs capacitated|MOOE/SSP",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",No. of CTECs capacitated,MOOE/SSP,,0,11,11,11,11,44,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of CTECs capacitated|MOOE",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",No. of CTECs capacitated,MOOE,CEBU CITY,1,0,0,0,0,1,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of CTECs capacitated|SSP",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",No. of CTECs capacitated,SSP,,11,11,11,11,11,55,"10,000","10,000","10,000","10,000","10,000","50,000"
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of individuals provided with skills training through CTECS|NO. OF ENROLLEES IN MANDAUE CITY COLLEGE TECHNOLOGICAL AND ENTREPRENEURIAL SKILLS TRAINING (MCCTEST) CENTER COMMUNITY-BASED TRAINING PROGRAMS",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",No. of individuals provided with skills training through CTECS,NO. OF ENROLLEES IN MANDAUE CITY COLLEGE TECHNOLOGICAL AND ENTREPRENEURIAL SKILLS TRAINING (MCCTEST) CENTER COMMUNITY-BASED TRAINING PROGRAMS,,156,172,190,209,230,957,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of individuals provided with skills training through CTECS|LGU FUNDS, SCHOLARSHIP FUNDS",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",No. of individuals provided with skills training through CTECS,"LGU FUNDS, SCHOLARSHIP FUNDS",,0,25,25,0,0,50,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of individuals provided with skills training through CTECS|SCHOLARSHIP FUNDS, CEBU CITY DEPARTMENT OF MANPOWER DEVELOPMENT AND PLACEMENT",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",No. of individuals provided with skills training through CTECS,"SCHOLARSHIP FUNDS, CEBU CITY DEPARTMENT OF MANPOWER DEVELOPMENT AND PLACEMENT",CEBU CITY DEPARTMENT OF MANPOWER DEVELOPMENT AND PLACEMENT,1,0,0,0,0,1,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of individuals provided with skills training through CTECS|SCHOLARSHIP FUNDS",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",No. of individuals provided with skills training through CTECS,SCHOLARSHIP FUNDS,,0,50,50,50,50,200,0,"30,000","30,000","30,000","30,000","120,000"
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of information, education and communication materials on RPL, including success stories, formulated and published|MOOE/SSP",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained","No. of information, education and communication materials on RPL, including success stories, formulated and published",MOOE/SSP,,0,1,1,1,1,4,0,"2,000","2,000","2,000","2,000","8,000"
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of information, education and communication materials on RPL, including success stories, formulated and published|MOOE",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained","No. of information, education and communication materials on RPL, including success stories, formulated and published",MOOE,,25,28,31,0,0,84,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of LGUs implementing Community-Based Training programs|LGU FUNDS, SCHOLARSHIP FUNDS",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",No. of LGUs implementing Community-Based Training programs,"LGU FUNDS, SCHOLARSHIP FUNDS",,0,1,1,0,0,2,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of LGUs implementing Community-Based Training programs|LGU FUNDS",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",No. of LGUs implementing Community-Based Training programs,LGU FUNDS,MANDAUE CITY,1,0,0,0,0,1,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of LGUs implementing Community-Based Training programs|MOEE, LGU FUNDS",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",No. of LGUs implementing Community-Based Training programs,"MOEE, LGU FUNDS",LGU LAPU-LAPU CITY,0,0,1,0,0,1,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of LGUs implementing Community-Based Training programs|MOOE, LGU FUNDS",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",No. of LGUs implementing Community-Based Training programs,"MOOE, LGU FUNDS",,0,1,1,0,0,2,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of LGUs implementing Community-Based Training programs|MOOE",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",No. of LGUs implementing Community-Based Training programs,MOOE,TALISAY CITY IMPLEMENTING BASIC COMPUTER LITERACY PROGRAM,1,0,0,0,0,1,"10,000",0,0,0,0,"10,000"
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of LGUs implementing Community-Based Training programs|SCHOLARSHIP FUNDS, CEBU CITY DEPARTMENT OF MANPOWER DEVELOPMENT AND PLACEMENT",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",No. of LGUs implementing Community-Based Training programs,"SCHOLARSHIP FUNDS, CEBU CITY DEPARTMENT OF MANPOWER DEVELOPMENT AND PLACEMENT","BOGO LITES, MANPOWER ACCELERATION AND RESOURCE CENTER (MAR-C) / MADREDIJOS COMMUNITY COLLEGE (MCC)/TABOGON SKILLS TRAINING CENTER


CEBU CITY DEPARTMENT OF MANPOWER DEVELOPMENT AND PLACEMENT",5,5,5,5,5,25,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of LGUs implementing Community-Based Training programs|SCHOLARSHIP FUNDS,",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",No. of LGUs implementing Community-Based Training programs,"SCHOLARSHIP FUNDS,",,4,3,3,1,0,11,"50,000","50,000","50,000","50,000","50,000","250,000"
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of LGUs with local training centers established|LGU FUNDS",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",No. of LGUs with local training centers established,LGU FUNDS,"CEBU CITY
MANDAUE CITY COLLEGE TECHNOLOGICAL AND ENTREPRENEURIAL SKILLS TRAINING (MCCTEST) CENTER",3,0,1,0,0,4,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of LGUs with local training centers established|MOOE, LGU FUNDS",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",No. of LGUs with local training centers established,"MOOE, LGU FUNDS",LGU LAPU-LAPU CITY,0,0,1,0,0,1,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of LGUs with local training centers established|MOOE/SSP",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",No. of LGUs with local training centers established,MOOE/SSP,,4,4,4,4,4,20,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of LGUs with plantilla positions for CTECs|LGU FUNDS",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",No. of LGUs with plantilla positions for CTECs,LGU FUNDS,"CEBU CITY
CTEC OF LAPU-LAPU CITY
CTEC OF MANDAUE CITY
LGU ALCANTARA, LGU ALEGRIA, LGU BADIAN, LGU DUMANJUG, LGU GINATILAN, LGU MALABUYOC, LGU MOALBOAL",11,0,0,0,0,11,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of operational TESDA Innovation Centers (as applicable)|",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",No. of operational TESDA Innovation Centers (as applicable),,,1,1,1,1,1,5,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of partnerships established|MOOE, INDUSTRY PARTNERS, STAKEHOLDERS",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",No. of partnerships established,"MOOE, INDUSTRY PARTNERS, STAKEHOLDERS",,0,1,1,0,0,2,0,"5,000","5,000",0,0,"10,000"
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of partnerships established|MOOE, INDUSTRY PARTNERS",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",No. of partnerships established,"MOOE, INDUSTRY PARTNERS",,4,5,6,7,8,30,0,"5,000","5,000","5,000","5,000","20,000"
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of partnerships established|MOOE/SSP",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",No. of partnerships established,MOOE/SSP,PTC-MINGLANILLA: NUMBER OF INDUSTRY PARTNER,25,21,21,25,25,117,0,"44,000","44,000","25,000","25,000","138,000"
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of partnerships established|MOOE",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",No. of partnerships established,MOOE,"PARTNERSHIP ESTABLISHED
PARTNERSHIPS ESTABLISHED",6,7,7,8,8,36,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of partnerships established|SSP",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",No. of partnerships established,SSP,,55,2,9,3,7,76,"5,000","20,000","55,000","50,000","25,000","155,000"
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of skills training programs and projects co-implemented with international and local partners|SKILLS FOR PROSPERITY PROGRAM",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",No. of skills training programs and projects co-implemented with international and local partners,SKILLS FOR PROSPERITY PROGRAM,,1,0,0,0,0,1,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of skills training programs and projects co-implemented with international and local partners|LGU FUNDS, DEVELOPMENT PARTNERS (USAID)",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",No. of skills training programs and projects co-implemented with international and local partners,"LGU FUNDS, DEVELOPMENT PARTNERS (USAID)",SKILLS FOR PROSPERITY PILOT IMPLEMENTATION,1,0,0,0,0,1,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of skills training programs and projects co-implemented with international and local partners|LGU FUNDS, DEVELOPMENT PARTNERS",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",No. of skills training programs and projects co-implemented with international and local partners,"LGU FUNDS, DEVELOPMENT PARTNERS",SKILL FOR PROSPERITY PILOT IMPLEMENTATION,1,0,0,0,0,1,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of skills training programs and projects co-implemented with international and local partners|MOOE/SSP",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",No. of skills training programs and projects co-implemented with international and local partners,MOOE/SSP,NUMBER OF PROGRAMS WITH SUPERVISED INDUSTRY LEARNING (SIL),1,2,2,3,3,11,0,"10,000","10,000","15,000","15,000","50,000"
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of skills training programs and projects co-implemented with international and local partners|SCHOLARSHIP FUNDS",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",No. of skills training programs and projects co-implemented with international and local partners,SCHOLARSHIP FUNDS,PBED YOUTHWORKS - TESDA - JOLLIBEE GROUP - SIL IN FBS,1,1,1,1,1,5,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of trainers and assessors that underwent industry immersion|",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",No. of trainers and assessors that underwent industry immersion,,,0,1,0,0,0,1,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of trainers and assessors that underwent industry immersion|NO. OF TRAINERS AND ASSESSORS THAT UNDERWENT INDUSTRY IMMERSION",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",No. of trainers and assessors that underwent industry immersion,NO. OF TRAINERS AND ASSESSORS THAT UNDERWENT INDUSTRY IMMERSION,,0,0,0,0,0,0,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of trainers and assessors that underwent industry immersion|MOOE/SSP",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",No. of trainers and assessors that underwent industry immersion,MOOE/SSP,,1,2,2,2,2,9,0,"9,000","18,000","18,000","18,000","63,000"
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of trainers and assessors that underwent industry immersion|SSP",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",No. of trainers and assessors that underwent industry immersion,SSP,PTC-MINGLANILLA: IMMERSION OF TRAINER IN HOUSEKEEPING NCII,1,1,1,1,1,5,"3,000","87,000","87,000","87,000","87,000","351,000"
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|Number of strategic partnership established with industry, government,academia,labor and community stakeholders by RTC-Cebu|SSP",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained","Number of strategic partnership established with industry, government,academia,labor and community stakeholders by RTC-Cebu",SSP,,0,2,2,3,3,10,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|Percentage increase in the number of Enterprise-based Training graduates|EBT ENTERPRISES",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",Percentage increase in the number of Enterprise-based Training graduates,EBT ENTERPRISES,,0,0,0,0,0,0,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|Percentage increase in the number of Enterprise-based Training graduates|INDUSTRY PARTNERS",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",Percentage increase in the number of Enterprise-based Training graduates,INDUSTRY PARTNERS,,0,0,0,0,0,0,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|Percentage increase of Enterprise-based Training Implementers|",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",Percentage increase of Enterprise-based Training Implementers,,,0,0,0,0,0,0,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|Percentage increase of Enterprise-based Training Implementers|MOOE, INDUSTRY PARTNERS",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",Percentage increase of Enterprise-based Training Implementers,"MOOE, INDUSTRY PARTNERS",,0,0,0,0,0,0,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|Percentage increase of Enterprise-based Training Implementers|MOOE",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",Percentage increase of Enterprise-based Training Implementers,MOOE,,0,0,0,0,0,0,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|Training Programs Registered|",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",Training Programs Registered,,,0,1,1,0,0,2,0,"5,000","5,000",0,0,"10,000"
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|Training Programs Registered|NUMBER OF NEW TRAINING PROGRAMS REGISTERED",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",Training Programs Registered,NUMBER OF NEW TRAINING PROGRAMS REGISTERED,,15,0,0,0,0,15,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|Training Programs Registered|MOOE, INDUSTRY PARTNERS, STAKEHOLDERS",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",Training Programs Registered,"MOOE, INDUSTRY PARTNERS, STAKEHOLDERS",NUMBER OF NEW TRAINING PROGRAMS REGISTERED,0,1,0,0,0,1,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|Training Programs Registered|MOOE",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",Training Programs Registered,MOOE,NUMBER OF NEW TRAINING PROGRAMS REGISTERED,4,0,0,0,0,4,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|Training Programs Registered|SSP",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",Training Programs Registered,SSP,"NUMBER OF NEW TRAINING PROGRAMS REGISTERED
NUMBER OF NEW TRAINING PROGRAMS REGISTERED

PTC SAMBOAN - EIM NC III",6,1,0,0,0,7,"311,490","5,745",0,"28,850",0,"346,085"
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|TVET Advocacy Programs strengthened|TVET FORUM",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",TVET Advocacy Programs strengthened,TVET FORUM,,1,1,1,1,1,5,0,"250,000","250,000","250,000","250,000","1,000,000"
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|TVET Advocacy Programs strengthened|MOOE, NGA PARTNERS, LGU FUNDS",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",TVET Advocacy Programs strengthened,"MOOE, NGA PARTNERS, LGU FUNDS",PARTICIPATION IN GOVERNMENT SERVICES CARAVAN,0,1,0,0,0,1,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|TVET Advocacy Programs strengthened|MOOE/SSP",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",TVET Advocacy Programs strengthened,MOOE/SSP,NUMBER OF ADVOCACY PROGRAMS CONDUCTED,25,10,10,10,10,65,0,"20,000","20,000","20,000","20,000","80,000"
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|TVET Advocacy Programs strengthened|SSP",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",TVET Advocacy Programs strengthened,SSP,"CONDUCT AT LEAST 2 CTEC MEETING YEARLY
NUMBER OF COMMUNITY OUTREACH ACTIVITY  PARTICIPATED/INITIATED 
NUMBER OF REGULAR TRAINING SESSIONS ON GENDER EQUALITY AND SOCIAL INCLUSION CONDUCTED
NUMBER OF SOCIAL MEDIA PLATFORMS AS MEANS OF COMMUNICATION MAINTAINED
NUMBER OF SURVEY FORM TO CTECS UNDER AREA OF RESPONSIBILITY.
NUMBER PUBLICATION OF SUCCESS STORIES PREPARED/UPDATED",6,7,7,7,7,34,"41,000","88,692","88,692","88,692","88,692","395,768"
"REGION_VII|SP_5: Transformative and Innovative TVET Ecosystem Organized, Managed, and Strengthened|ESTABLISHMENT AND OPERATIONALIZATION OF FACILITIES AND EQUIPMENT MAINTENANCE SYSTEM (FEMS)|SSP",REGION_VII,"SP_5: Transformative and Innovative TVET Ecosystem Organized, Managed, and Strengthened",ESTABLISHMENT AND OPERATIONALIZATION OF FACILITIES AND EQUIPMENT MAINTENANCE SYSTEM (FEMS),SSP,PTC-MINGLANILLA: FACILITIES MAINTENANCE AND INVESTMENT PLAN PREPARED,1,1,1,1,1,5,"3,000","5,000","5,000","5,000","5,000","23,000"
"REGION_VII|SP_5: Transformative and Innovative TVET Ecosystem Organized, Managed, and Strengthened|Innovative culture in TVET sector established and strengthened|",REGION_VII,"SP_5: Transformative and Innovative TVET Ecosystem Organized, Managed, and Strengthened",Innovative culture in TVET sector established and strengthened,,,0,1,0,0,0,1,0,0,0,0,0,0
"REGION_VII|SP_5: Transformative and Innovative TVET Ecosystem Organized, Managed, and Strengthened|Innovative culture in TVET sector established and strengthened|SSP",REGION_VII,"SP_5: Transformative and Innovative TVET Ecosystem Organized, Managed, and Strengthened",Innovative culture in TVET sector established and strengthened,SSP,NUMBER OF GREEN TVET INITIATIVES IMPLEMENTED AND REPORTED,1,3,1,1,1,7,"20,000","192,686","43,456","43,456","43,456","343,054"
"REGION_VII|SP_5: Transformative and Innovative TVET Ecosystem Organized, Managed, and Strengthened|No. of continous professional Development reskilling and upskilling programs|SSP",REGION_VII,"SP_5: Transformative and Innovative TVET Ecosystem Organized, Managed, and Strengthened",No. of continous professional Development reskilling and upskilling programs,SSP,,0,2,2,3,3,10,0,0,0,0,0,0
"REGION_VII|SP_5: Transformative and Innovative TVET Ecosystem Organized, Managed, and Strengthened|No. of graduates in higher-level TVET programs offered by TTIs (including their innovation centers)|",REGION_VII,"SP_5: Transformative and Innovative TVET Ecosystem Organized, Managed, and Strengthened",No. of graduates in higher-level TVET programs offered by TTIs (including their innovation centers),,,0,125,125,150,175,575,"20,000,000","20,000,000","20,000,000","20,000,000",0,"80,000,000"
"REGION_VII|SP_5: Transformative and Innovative TVET Ecosystem Organized, Managed, and Strengthened|No. of specialized programs offered by RTC such as but not limited to advanced manufacturinng,green practices, and technologies,digital fabrication,construct on ICT,IoT, hospitality and Tourism|SSP",REGION_VII,"SP_5: Transformative and Innovative TVET Ecosystem Organized, Managed, and Strengthened","No. of specialized programs offered by RTC such as but not limited to advanced manufacturinng,green practices, and technologies,digital fabrication,construct on ICT,IoT, hospitality and Tourism",SSP,,0,2,2,3,3,10,0,0,0,0,0,0
"REGION_VII|SP_5: Transformative and Innovative TVET Ecosystem Organized, Managed, and Strengthened|No. of TVET-related researches conducted|",REGION_VII,"SP_5: Transformative and Innovative TVET Ecosystem Organized, Managed, and Strengthened",No. of TVET-related researches conducted,,,1,1,1,1,1,5,0,"30,000","30,000","30,000","30,000","120,000"
