IDENTIFIER,REGION,SECTOR,SUBSECTOR,JOB REQUIREMENT,PROGRAM,TYPE,TASK + UC
"REGION_VII|MANUFACTURING|METALS AND ENGINEERING|WELDERS (SMAW)|MANUAL METAL ARC WELDING (MMAW) NC II|With TR|WELD CARBON STEEL PLATES USING MMAW
PREPARE / FIT UP WELDING JOINTS
SET UP WELDING EQUIPMENT",REGION_VII,MANUFACTURING,METALS AND ENGINEERING,WELDERS (SMAW),MANUAL METAL ARC WELDING (MMAW) NC II,With TR,"WELD CARBON STEEL PLATES USING MMAW
PREPARE / FIT UP WELDING JOINTS
SET UP WELDING EQUIPMENT"
"REGION_VII|MANUFACTURING|PROCESSED FOOD AND BEVERAGES|CACAO PROCESSING TECHNICIAN|CACAO PROCESSING TECHNICIAN|With CS|PERATE MACHINES TO REMOVE FOREIGN MATERIALS LIKE STONES, STRING, AND DIRT FROM CACAO BEANS
MONITOR AND OPERATE ROASTING EQUIPMENT TO ENSURE CACAO BEANS ARE ROASTED TO THE DESIRED FLAVOR PROFILE
HANDLE VARIOUS PROCESSING STEPS INCLUDING FERMENTATION, DRYING, AND GRINDING OF CACAO BEANS
PERFORM QUALITY CHECKS ON CACAO BEANS AND INTERMEDIATE PRODUCTS
REGULARLY CLEAN AND MAINTAIN PROCESSING EQUIPMENT",REGION_VII,MANUFACTURING,PROCESSED FOOD AND BEVERAGES,CACAO PROCESSING TECHNICIAN,CACAO PROCESSING TECHNICIAN,With CS,"PERATE MACHINES TO REMOVE FOREIGN MATERIALS LIKE STONES, STRING, AND DIRT FROM CACAO BEANS
MONITOR AND OPERATE ROASTING EQUIPMENT TO ENSURE CACAO BEANS ARE ROASTED TO THE DESIRED FLAVOR PROFILE
HANDLE VARIOUS PROCESSING STEPS INCLUDING FERMENTATION, DRYING, AND GRINDING OF CACAO BEANS
PERFORM QUALITY CHECKS ON CACAO BEANS AND INTERMEDIATE PRODUCTS
REGULARLY CLEAN AND MAINTAIN PROCESSING EQUIPMENT"
"REGION_VII|MANUFACTURING|ELECTRICAL AND ELECTRONICS|MECHATRONICS AND AUTOMATION TECHNICIAN|MECHATRONICS SERVICING NC II|With TR|INSTALL MECHATRONICS AND AUTOMATION DEVICES
CONFIGURE AND TEST MECHATRONICS AND AUTOMATION SYSTEM
INSTALL MECHATRONICS AND AUTOMATION DEVICES
CONFIGURE AND TEST MECHATRONICS AND AUTOMATION SYSTEM",REGION_VII,MANUFACTURING,ELECTRICAL AND ELECTRONICS,MECHATRONICS AND AUTOMATION TECHNICIAN,MECHATRONICS SERVICING NC II,With TR,"INSTALL MECHATRONICS AND AUTOMATION DEVICES
CONFIGURE AND TEST MECHATRONICS AND AUTOMATION SYSTEM
INSTALL MECHATRONICS AND AUTOMATION DEVICES
CONFIGURE AND TEST MECHATRONICS AND AUTOMATION SYSTEM"
"REGION_VII|MANUFACTURING|METALS AND ENGINEERING|INSTRUMENTATION TECHNICIAN|DIPLOMA PROGRAM IN MECHANICAL ENGINEERING TECHNOLOGY|Diploma Programs|INSTALL, CALIBRATE, AND MAINTAIN INDUSTRIAL MEASURING INSTRUMENTS SUCH AS PRESSURE SENSORS, FLOW METERS, AND TEMPERATURE CONTROLLERS.
TROUBLESHOOT AND REPAIR FAULTY INSTRUMENTATION SYSTEMS TO ENSURE ACCURACY IN PROCESS CONTROL.
PROGRAM AND CONFIGURE AUTOMATED CONTROL SYSTEMS, INCLUDING PLCS AND SCADA SYSTEMS, TO OPTIMIZE INDUSTRIAL OPERATIONS.
INSTALL INSTRUMENTATION AND CONTROL DEVICES
CONFIGURE INSTRUMENTATION AND CONTROL DEVICES",REGION_VII,MANUFACTURING,METALS AND ENGINEERING,INSTRUMENTATION TECHNICIAN,DIPLOMA PROGRAM IN MECHANICAL ENGINEERING TECHNOLOGY,Diploma Programs,"INSTALL, CALIBRATE, AND MAINTAIN INDUSTRIAL MEASURING INSTRUMENTS SUCH AS PRESSURE SENSORS, FLOW METERS, AND TEMPERATURE CONTROLLERS.
TROUBLESHOOT AND REPAIR FAULTY INSTRUMENTATION SYSTEMS TO ENSURE ACCURACY IN PROCESS CONTROL.
PROGRAM AND CONFIGURE AUTOMATED CONTROL SYSTEMS, INCLUDING PLCS AND SCADA SYSTEMS, TO OPTIMIZE INDUSTRIAL OPERATIONS.
INSTALL INSTRUMENTATION AND CONTROL DEVICES
CONFIGURE INSTRUMENTATION AND CONTROL DEVICES"
"REGION_VII|MANUFACTURING|ELECTRICAL AND ELECTRONICS|RESIDENTIAL/COMMERCIAL WIRING TECHNICIAN|DIPLOMA PROGRAM IN ELECTRICAL ENGINEERING TECHNOLOGY|Diploma Programs|INSTALL ELECTRICAL WIRING, OUTLETS, CIRCUIT BREAKERS, AND LIGHTING FIXTURES IN RESIDENTIAL AND COMMERCIAL BUILDINGS
INSPECT AND TROUBLESHOOT ELECTRICAL SYSTEMS TO IDENTIFY AND REPAIR FAULTS OR CODE VIOLATIONS
READ AND INTERPRET BLUEPRINTS, WIRING DIAGRAMS, AND ELECTRICAL CODES TO ENSURE PROPER INSTALLATION.",REGION_VII,MANUFACTURING,ELECTRICAL AND ELECTRONICS,RESIDENTIAL/COMMERCIAL WIRING TECHNICIAN,DIPLOMA PROGRAM IN ELECTRICAL ENGINEERING TECHNOLOGY,Diploma Programs,"INSTALL ELECTRICAL WIRING, OUTLETS, CIRCUIT BREAKERS, AND LIGHTING FIXTURES IN RESIDENTIAL AND COMMERCIAL BUILDINGS
INSPECT AND TROUBLESHOOT ELECTRICAL SYSTEMS TO IDENTIFY AND REPAIR FAULTS OR CODE VIOLATIONS
READ AND INTERPRET BLUEPRINTS, WIRING DIAGRAMS, AND ELECTRICAL CODES TO ENSURE PROPER INSTALLATION."
"REGION_VII|MANUFACTURING|ELECTRICAL AND ELECTRONICS|INDUSTRIAL ELECTRONIC TECHNICIAN|DIPLOMA PROGRAM IN ELECTRONICS ENGINEERING TECHNOLOGY|Diploma Programs|TROUBLESHOOT AND REPAIR INDUSTRIAL ELECTRONIC EQUIPMENT, INCLUDING MOTORS, SENSORS, AND CONTROL SYSTEMS.
PERFORM PREVENTIVE MAINTENANCE ON ELECTRICAL AND ELECTRONIC SYSTEMS IN MANUFACTURING PLANTS.
CALIBRATE AND TEST INDUSTRIAL INSTRUMENTS TO ENSURE ACCURATE OPERATION
SERVICE INDUSTRIAL ELECTRONIC MODULES, PRODUCTS AND SYSTEMS
ASSEMBLE ELECTRONIC PRODUCTS
SERVICE CONSUMER ELECTRONIC PRODUCTS AND SYSTEMS",REGION_VII,MANUFACTURING,ELECTRICAL AND ELECTRONICS,INDUSTRIAL ELECTRONIC TECHNICIAN,DIPLOMA PROGRAM IN ELECTRONICS ENGINEERING TECHNOLOGY,Diploma Programs,"TROUBLESHOOT AND REPAIR INDUSTRIAL ELECTRONIC EQUIPMENT, INCLUDING MOTORS, SENSORS, AND CONTROL SYSTEMS.
PERFORM PREVENTIVE MAINTENANCE ON ELECTRICAL AND ELECTRONIC SYSTEMS IN MANUFACTURING PLANTS.
CALIBRATE AND TEST INDUSTRIAL INSTRUMENTS TO ENSURE ACCURATE OPERATION
SERVICE INDUSTRIAL ELECTRONIC MODULES, PRODUCTS AND SYSTEMS
ASSEMBLE ELECTRONIC PRODUCTS
SERVICE CONSUMER ELECTRONIC PRODUCTS AND SYSTEMS"
"REGION_VII|MANUFACTURING|SHIPBUILDING|WELDERS (SMAW)|MANUAL METAL ARC WELDING (MMAW) NC I|With TR|WELD CARBON STEEL PLATES USING MMAW
PREPARE / FIT UP WELDING JOINTS
SET UP WELDING EQUIPMENT",REGION_VII,MANUFACTURING,SHIPBUILDING,WELDERS (SMAW),MANUAL METAL ARC WELDING (MMAW) NC I,With TR,"WELD CARBON STEEL PLATES USING MMAW
PREPARE / FIT UP WELDING JOINTS
SET UP WELDING EQUIPMENT"
"REGION_VII|MANUFACTURING|SHIPBUILDING|WELDERS (SMAW)|MANUAL METAL ARC WELDING (MMAW) NC II|With TR|WELD CARBON STEEL PLATES AND PIPES USING MMAW
PREPARE / FIT UP WELDING JOINTS
SET UP WELDING EQUIPMENT",REGION_VII,MANUFACTURING,SHIPBUILDING,WELDERS (SMAW),MANUAL METAL ARC WELDING (MMAW) NC II,With TR,"WELD CARBON STEEL PLATES AND PIPES USING MMAW
PREPARE / FIT UP WELDING JOINTS
SET UP WELDING EQUIPMENT"
"REGION_VII|MANUFACTURING|SHIPBUILDING|WELDERS (SMAW)|MANUAL METAL ARC WELDING (MMAW) NC III|With TR|SET UP WELDING EQUIPMENT
WELD AUSTENITIC STAINLESS STEEL PLATES USING MMAW
PREPARE / FIT UP WELDING JOINTS",REGION_VII,MANUFACTURING,SHIPBUILDING,WELDERS (SMAW),MANUAL METAL ARC WELDING (MMAW) NC III,With TR,"SET UP WELDING EQUIPMENT
WELD AUSTENITIC STAINLESS STEEL PLATES USING MMAW
PREPARE / FIT UP WELDING JOINTS"
"REGION_VII|MANUFACTURING|SHIPBUILDING|WELDERS (SMAW)|MANUAL METAL ARC WELDING (MMAW) NC IV|With TR|SET UP WELDING EQUIPMENT
PREPARE / FIT UP WELDING JOINTS
WELD AUSTENITIC STAINLESS STEEL PLATES AND PIPES USING MMAW",REGION_VII,MANUFACTURING,SHIPBUILDING,WELDERS (SMAW),MANUAL METAL ARC WELDING (MMAW) NC IV,With TR,"SET UP WELDING EQUIPMENT
PREPARE / FIT UP WELDING JOINTS
WELD AUSTENITIC STAINLESS STEEL PLATES AND PIPES USING MMAW"
"REGION_VII|MANUFACTURING|SHIPBUILDING|WELDERS (FCAW)|FLUX-CORED ARC WELDING (FCAW) NC II|With TR|ASSEMBLE AND CONFIGURE FCAW WELDING EQUIPMENT
CHOOSE APPROPRIATE FILLER MATERIALS BASED ON THE TYPE OF METAL AND WELDING REQUIREMENTS
CLEAN AND PREPARE THE SURFACE TO BE WELDED
PUT ON SAFETY EQUIPMENT
USE FCAW TECHNIQUES TO WELD SHIP STRUCTURAL COMPONENTS
EMOVE SLAG, SPATTER, AND OTHER DEBRIS FROM THE WELDED AREA",REGION_VII,MANUFACTURING,SHIPBUILDING,WELDERS (FCAW),FLUX-CORED ARC WELDING (FCAW) NC II,With TR,"ASSEMBLE AND CONFIGURE FCAW WELDING EQUIPMENT
CHOOSE APPROPRIATE FILLER MATERIALS BASED ON THE TYPE OF METAL AND WELDING REQUIREMENTS
CLEAN AND PREPARE THE SURFACE TO BE WELDED
PUT ON SAFETY EQUIPMENT
USE FCAW TECHNIQUES TO WELD SHIP STRUCTURAL COMPONENTS
EMOVE SLAG, SPATTER, AND OTHER DEBRIS FROM THE WELDED AREA"
"REGION_VII|MANUFACTURING|SHIPBUILDING|FITTERS|PIPEFITTING (METALLIC) NC II|With TR|UNDERSTAND AND FOLLOW BLUEPRINTS, SCHEMATICS, AND SHIP LAYOUTS
MEASURE, CUT, AND FIT MATERIALS
ASSEMBLE AND INSTALL PARTS AND STRUCTURES ON THE SHIP
UTILIZE A VARIETY OF TOOLS
CONDUCT ROUTINE INSPECTIONS AND MAINTENANCE ON TOOLS AND EQUIPMENT
ADHERE TO SAFETY STANDARDS AND REGULATIONS",REGION_VII,MANUFACTURING,SHIPBUILDING,FITTERS,PIPEFITTING (METALLIC) NC II,With TR,"UNDERSTAND AND FOLLOW BLUEPRINTS, SCHEMATICS, AND SHIP LAYOUTS
MEASURE, CUT, AND FIT MATERIALS
ASSEMBLE AND INSTALL PARTS AND STRUCTURES ON THE SHIP
UTILIZE A VARIETY OF TOOLS
CONDUCT ROUTINE INSPECTIONS AND MAINTENANCE ON TOOLS AND EQUIPMENT
ADHERE TO SAFETY STANDARDS AND REGULATIONS"
"REGION_VII|MANUFACTURING|SHIPBUILDING|WIREBRUSHERS|MANUAL METAL ARC WELDING (MMAW) NC I|With TR|REMOVE DEBRIS AND PREPARE THE AREA ON THE SHIP FOR WIRE BRUSHING
CHOOSE THE APPROPRIATE WIRE BRUSH BASED ON THE TYPE OF METAL AND CONDITION OF THE SHIP'S SURFACE
PUT ON SAFETY EQUIPMENT
UTILIZE HAND-HELD WIRE BRUSHES OR POWER TOOLS
CHECK THE SURFACE AFTER WIRE BRUSHING
ADDRESS ANY AREAS THAT NEED ADDITIONAL CLEANING
CLEAN THE WIRE BRUSHES AND OTHER TOOLS
REGULARLY INSPECT AND PERFORM MAINTENANCE ON WIRE BRUSHES AND OTHER EQUIPMENT",REGION_VII,MANUFACTURING,SHIPBUILDING,WIREBRUSHERS,MANUAL METAL ARC WELDING (MMAW) NC I,With TR,"REMOVE DEBRIS AND PREPARE THE AREA ON THE SHIP FOR WIRE BRUSHING
CHOOSE THE APPROPRIATE WIRE BRUSH BASED ON THE TYPE OF METAL AND CONDITION OF THE SHIP'S SURFACE
PUT ON SAFETY EQUIPMENT
UTILIZE HAND-HELD WIRE BRUSHES OR POWER TOOLS
CHECK THE SURFACE AFTER WIRE BRUSHING
ADDRESS ANY AREAS THAT NEED ADDITIONAL CLEANING
CLEAN THE WIRE BRUSHES AND OTHER TOOLS
REGULARLY INSPECT AND PERFORM MAINTENANCE ON WIRE BRUSHES AND OTHER EQUIPMENT"
"REGION_VII|MANUFACTURING|SHIPBUILDING|SANDBLASTERS|SANDBLASTERS|New and Emerging|REMOVE DEBRIS AND PREPARE THE AREA FOR SANDBLASTING
ASSEMBLE SANDBLASTING EQUIPMENT
CHOOSE APPROPRIATE ABRASIVE MATERIAL FOR THE SURFACE BEING CLEANED
COVER AND MASK OFF AREAS THAT SHOULD NOT BE SANDBLASTED TO PREVENT DAMAGE
DIRECT HIGH-PRESSURE STREAM OF ABRASIVE MATERIAL ONTO THE SHIP'S SURFACE TO REMOVE PAINT, RUST, AND OTHER CONTAMINANTS
PUT ON SAFETY EQUIPMENT
ADJUST PRESSURE AND ANGLE OF THE NOZZLE
CHECK THE SURFACE AFTER SANDBLASTING TO ENSURE ALL CONTAMINANTS HAVE BEEN REMOVED
REPEAT SANDBLASTING ON AREAS THAT NEED ADDITIONAL CLEANING
REMOVE ABRASIVE MATERIAL FROM EQUIPMENT
REGULARLY INSPECT AND PERFORM MAINTENANCE ON SANDBLASTING EQUIPMENT",REGION_VII,MANUFACTURING,SHIPBUILDING,SANDBLASTERS,SANDBLASTERS,New and Emerging,"REMOVE DEBRIS AND PREPARE THE AREA FOR SANDBLASTING
ASSEMBLE SANDBLASTING EQUIPMENT
CHOOSE APPROPRIATE ABRASIVE MATERIAL FOR THE SURFACE BEING CLEANED
COVER AND MASK OFF AREAS THAT SHOULD NOT BE SANDBLASTED TO PREVENT DAMAGE
DIRECT HIGH-PRESSURE STREAM OF ABRASIVE MATERIAL ONTO THE SHIP'S SURFACE TO REMOVE PAINT, RUST, AND OTHER CONTAMINANTS
PUT ON SAFETY EQUIPMENT
ADJUST PRESSURE AND ANGLE OF THE NOZZLE
CHECK THE SURFACE AFTER SANDBLASTING TO ENSURE ALL CONTAMINANTS HAVE BEEN REMOVED
REPEAT SANDBLASTING ON AREAS THAT NEED ADDITIONAL CLEANING
REMOVE ABRASIVE MATERIAL FROM EQUIPMENT
REGULARLY INSPECT AND PERFORM MAINTENANCE ON SANDBLASTING EQUIPMENT"
"REGION_VII|MANUFACTURING|SHIPBUILDING|PAINTERS|PAINTERS|New and Emerging|REMOVE OLD PAINT, RUST, DIRT, AND OTHER CONTAMINANTS FROM THE SHIP'S SURFACE USING TOOLS
COAT THE SHIP'S SURFACE WITH A LAYER OF PRIMER
SMOOTH THE PRIMED SURFACE BY SANDING
PREPARE THE PAINT BY MIXING DIFFERENT COMPONENTS
USE SPRAY GUNS, BRUSHES, OR ROLLERS TO APPLY MULTIPLE COATS OF PAINT TO THE SHIP'S SURFACE
CHECK THE PAINTED SURFACE FOR ANY IMPERFECTIONS, SUCH AS BUBBLES, RUNS, OR MISSED SPOTS
ADDRESS ANY IMPERFECTIONS FOUND DURING THE INSPECTION
CLEAN PAINTING EQUIPMENT
MAINTAIN EQUIPMENT",REGION_VII,MANUFACTURING,SHIPBUILDING,PAINTERS,PAINTERS,New and Emerging,"REMOVE OLD PAINT, RUST, DIRT, AND OTHER CONTAMINANTS FROM THE SHIP'S SURFACE USING TOOLS
COAT THE SHIP'S SURFACE WITH A LAYER OF PRIMER
SMOOTH THE PRIMED SURFACE BY SANDING
PREPARE THE PAINT BY MIXING DIFFERENT COMPONENTS
USE SPRAY GUNS, BRUSHES, OR ROLLERS TO APPLY MULTIPLE COATS OF PAINT TO THE SHIP'S SURFACE
CHECK THE PAINTED SURFACE FOR ANY IMPERFECTIONS, SUCH AS BUBBLES, RUNS, OR MISSED SPOTS
ADDRESS ANY IMPERFECTIONS FOUND DURING THE INSPECTION
CLEAN PAINTING EQUIPMENT
MAINTAIN EQUIPMENT"
"REGION_VII|MARITIME|CREW AND VESSEL SERVICES, MARITIME HOSPITALITY|MESSMAN|SHIP'S CATERING SERVICES NC I|With TR|ASSIST WITH THE PREPARATION, COOKING, AND SERVING OF MEALS;
MAINTAIN AND CLEAN THE MESS HALL, GALLEY, AND ASSOCIATED AREAS;
HANDLE DISHES, UTENSILS, AND KITCHEN EQUIPMENT AFTER MEALS;
SUPPORT THE SHIP'S COOK OR CHEF BY PREPPING INGREDIENTS AND ASSISTING WITH COOKING TASKS;
ORGANIZE AND STOCK FOOD SUPPLIES, ENSURING ADEQUATE INVENTORY LEVELS;
FACILITATE PROPER WASTE MANAGEMENT AND RECYCLING PROCEDURES;
ADHERE TO STRICT HYGIENE, SAFETY, AND SANITATION STANDARDS;
SET UP DINING AREAS AND ASSIST IN SERVING MEALS TO CREW OR PASSENGERS;
PERFORM GENERAL CLEANING AND MAINTENANCE OF DINING AND COMMON AREAS;
PROVIDE ASSISTANCE IN RECEIVING AND STORING PROVISIONS AND SUPPLIES
PERFORM MESS HALL SERVICE
PERFORM HOUSEKEEPING SERVICES",REGION_VII,MARITIME,"CREW AND VESSEL SERVICES, MARITIME HOSPITALITY",MESSMAN,SHIP'S CATERING SERVICES NC I,With TR,"ASSIST WITH THE PREPARATION, COOKING, AND SERVING OF MEALS;
MAINTAIN AND CLEAN THE MESS HALL, GALLEY, AND ASSOCIATED AREAS;
HANDLE DISHES, UTENSILS, AND KITCHEN EQUIPMENT AFTER MEALS;
SUPPORT THE SHIP'S COOK OR CHEF BY PREPPING INGREDIENTS AND ASSISTING WITH COOKING TASKS;
ORGANIZE AND STOCK FOOD SUPPLIES, ENSURING ADEQUATE INVENTORY LEVELS;
FACILITATE PROPER WASTE MANAGEMENT AND RECYCLING PROCEDURES;
ADHERE TO STRICT HYGIENE, SAFETY, AND SANITATION STANDARDS;
SET UP DINING AREAS AND ASSIST IN SERVING MEALS TO CREW OR PASSENGERS;
PERFORM GENERAL CLEANING AND MAINTENANCE OF DINING AND COMMON AREAS;
PROVIDE ASSISTANCE IN RECEIVING AND STORING PROVISIONS AND SUPPLIES
PERFORM MESS HALL SERVICE
PERFORM HOUSEKEEPING SERVICES"
"REGION_VII|MARITIME|CREW AND VESSEL SERVICES, MARITIME HOSPITALITY|SHIPS’ COOK|SHIPS' CATERING NC III (SHIPS' COOKS)|With TR|PLAN AND PREPARE MEALS;
MAINTAIN A CLEAN AND SANITARY GALLEY (KITCHEN) AREA;
ENSURE ADEQUATE FOOD SUPPLIES ARE ONBOARD AND PROPERLY STORED;
FOLLOW STRICT SAFETY AND HYGIENE STANDARDS;
MANAGE INVENTORY AND REPORT SHORTAGES OR DAMAGE;
ADAPT MENUS ACCORDING TO CREW PREFERENCES AND DIETARY NEEDS;
MONITOR FOOD WASTE AND MINIMIZE IT WHEN POSSIBLE;",REGION_VII,MARITIME,"CREW AND VESSEL SERVICES, MARITIME HOSPITALITY",SHIPS’ COOK,SHIPS' CATERING NC III (SHIPS' COOKS),With TR,"PLAN AND PREPARE MEALS;
MAINTAIN A CLEAN AND SANITARY GALLEY (KITCHEN) AREA;
ENSURE ADEQUATE FOOD SUPPLIES ARE ONBOARD AND PROPERLY STORED;
FOLLOW STRICT SAFETY AND HYGIENE STANDARDS;
MANAGE INVENTORY AND REPORT SHORTAGES OR DAMAGE;
ADAPT MENUS ACCORDING TO CREW PREFERENCES AND DIETARY NEEDS;
MONITOR FOOD WASTE AND MINIMIZE IT WHEN POSSIBLE;"
"REGION_VII|METALS AND ENGINEERING|METALS AND ENGINEERING|GTAW/TIG WELDER|GAS TUNGSTEN ARC WELDING (GTAW) NC II|With TR|WELD CARBON STEEL PLATES USING GTAW
WELD CARBON STEEL PIPES USING GTAW",REGION_VII,METALS AND ENGINEERING,METALS AND ENGINEERING,GTAW/TIG WELDER,GAS TUNGSTEN ARC WELDING (GTAW) NC II,With TR,"WELD CARBON STEEL PLATES USING GTAW
WELD CARBON STEEL PIPES USING GTAW"
"REGION_VII|METALS AND ENGINEERING|METALS AND ENGINEERING|INSTRUMENTATION AND AUTOMATION TECHNICIAN (LEVEL 1)|INSTRUMENTATION AND CONTROL SERVICING NC II|With TR|INSTALL INSTRUMENTATION AND CONTROL DEVICES
CONFIGURE INSTRUMENTATION AND CONTROL DEVICES",REGION_VII,METALS AND ENGINEERING,METALS AND ENGINEERING,INSTRUMENTATION AND AUTOMATION TECHNICIAN (LEVEL 1),INSTRUMENTATION AND CONTROL SERVICING NC II,With TR,"INSTALL INSTRUMENTATION AND CONTROL DEVICES
CONFIGURE INSTRUMENTATION AND CONTROL DEVICES"
"REGION_VII|METALS AND ENGINEERING|METALS AND ENGINEERING|INSTRUMENTATION AND AUTOMATION TECHNICIAN (LEVEL 2)|INSTRUMENTATION AND CONTROL SERVICING NC III|With TR|CALIBRATE INSTRUMENTATION AND CONTROL DEVICES
MAINTAIN, TROUBLESHOOT & REPAIR INSTRUMENTATION AND CONTROL DEVICES",REGION_VII,METALS AND ENGINEERING,METALS AND ENGINEERING,INSTRUMENTATION AND AUTOMATION TECHNICIAN (LEVEL 2),INSTRUMENTATION AND CONTROL SERVICING NC III,With TR,"CALIBRATE INSTRUMENTATION AND CONTROL DEVICES
MAINTAIN, TROUBLESHOOT & REPAIR INSTRUMENTATION AND CONTROL DEVICES"
"REGION_VII|METALS AND ENGINEERING|METALS AND ENGINEERING|INSTRUMENTATION AND AUTOMATION TECHNICIAN (LEVEL 3)|INSTRUMENTATION AND CONTROL SERVICING NC IV|With TR|LOOP CHECK INSTRUMENTATION AND CONTROL DEVICES
COMMISSION AND START-UP INSTRUMENTATION & CONTROL LOOPS AND SYSTEMS",REGION_VII,METALS AND ENGINEERING,METALS AND ENGINEERING,INSTRUMENTATION AND AUTOMATION TECHNICIAN (LEVEL 3),INSTRUMENTATION AND CONTROL SERVICING NC IV,With TR,"LOOP CHECK INSTRUMENTATION AND CONTROL DEVICES
COMMISSION AND START-UP INSTRUMENTATION & CONTROL LOOPS AND SYSTEMS"
"REGION_VII|METALS AND ENGINEERING|METALS AND ENGINEERING|AUSTENITIC STAINLESS STEEL PLATE/ PIPE WELDER (MMAW)|MANUAL METAL ARC WELDING (MMAW) NC IV|With TR|SET UP WELDING EQUIPMENT
PREPARE / FIT UP WELDING JOINTS
WELD AUSTENITIC STAINLESS STEEL PLATES AND PIPES USING MMAW",REGION_VII,METALS AND ENGINEERING,METALS AND ENGINEERING,AUSTENITIC STAINLESS STEEL PLATE/ PIPE WELDER (MMAW),MANUAL METAL ARC WELDING (MMAW) NC IV,With TR,"SET UP WELDING EQUIPMENT
PREPARE / FIT UP WELDING JOINTS
WELD AUSTENITIC STAINLESS STEEL PLATES AND PIPES USING MMAW"
"REGION_VII|METALS AND ENGINEERING|METALS AND ENGINEERING|CARBON STEEL PLATE/ PIPE WELDER (MMAW)|MANUAL METAL ARC WELDING (MMAW) NC I|With TR|PREPARE / FIT UP WELDING JOINTS
SET UP WELDING EQUIPMENT",REGION_VII,METALS AND ENGINEERING,METALS AND ENGINEERING,CARBON STEEL PLATE/ PIPE WELDER (MMAW),MANUAL METAL ARC WELDING (MMAW) NC I,With TR,"PREPARE / FIT UP WELDING JOINTS
SET UP WELDING EQUIPMENT"
"REGION_VII|METALS AND ENGINEERING|METALS AND ENGINEERING|CARBON STEEL PLATE/ PIPE WELDER (MMAW)|MANUAL METAL ARC WELDING (MMAW) NC II|With TR|WELD CARBON STEEL PLATES AND PIPES USING MMAW
PREPARE / FIT UP WELDING JOINTS
SET UP WELDING EQUIPMENT",REGION_VII,METALS AND ENGINEERING,METALS AND ENGINEERING,CARBON STEEL PLATE/ PIPE WELDER (MMAW),MANUAL METAL ARC WELDING (MMAW) NC II,With TR,"WELD CARBON STEEL PLATES AND PIPES USING MMAW
PREPARE / FIT UP WELDING JOINTS
SET UP WELDING EQUIPMENT"
"REGION_VII|METALS AND ENGINEERING|METALS AND ENGINEERING|CARBON STEEL PLATE/ PIPE WELDER (MMAW)|MANUAL METAL ARC WELDING (MMAW) NC III|With TR|SET UP WELDING EQUIPMENT
WELD AUSTENITIC STAINLESS STEEL PLATES USING MMAW
PREPARE / FIT UP WELDING JOINTS",REGION_VII,METALS AND ENGINEERING,METALS AND ENGINEERING,CARBON STEEL PLATE/ PIPE WELDER (MMAW),MANUAL METAL ARC WELDING (MMAW) NC III,With TR,"SET UP WELDING EQUIPMENT
WELD AUSTENITIC STAINLESS STEEL PLATES USING MMAW
PREPARE / FIT UP WELDING JOINTS"
"REGION_VII|METALS AND ENGINEERING|METALS AND ENGINEERING|FCAW PLATE & PIPE WELDER ( ALLOY STEEL)|FLUX-CORED ARC WELDING (FCAW) NC III|With TR|WELD ALLOY STEEL PIPES USING FCAW
WELD ALLOY STEEL PLATES USING FCAW",REGION_VII,METALS AND ENGINEERING,METALS AND ENGINEERING,FCAW PLATE & PIPE WELDER ( ALLOY STEEL),FLUX-CORED ARC WELDING (FCAW) NC III,With TR,"WELD ALLOY STEEL PIPES USING FCAW
WELD ALLOY STEEL PLATES USING FCAW"
REGION_VII|METALS AND ENGINEERING|METALS AND ENGINEERING|GAS (OXY-ACETYLENE) WELDER|GAS WELDING NC I|With TR|PERFORM GAS WELDING IN CARBON STEEL PLATES AND TUBES,REGION_VII,METALS AND ENGINEERING,METALS AND ENGINEERING,GAS (OXY-ACETYLENE) WELDER,GAS WELDING NC I,With TR,PERFORM GAS WELDING IN CARBON STEEL PLATES AND TUBES
REGION_VII|METALS AND ENGINEERING|METALS AND ENGINEERING|GAS WELDER (OXY-ACETYLENE)|GAS WELDING NC II|With TR|PERFORM GAS WELDING IN ALLOY STEEL PLATES AND TUBES,REGION_VII,METALS AND ENGINEERING,METALS AND ENGINEERING,GAS WELDER (OXY-ACETYLENE),GAS WELDING NC II,With TR,PERFORM GAS WELDING IN ALLOY STEEL PLATES AND TUBES
"REGION_VII|METALS AND ENGINEERING|METALS AND ENGINEERING|GMAW PLATE & PIPE WELDER ( ALLOY STEEL)|GAS METAL ARC WELDING (GMAW) NC III|With TR|WELD ALLOY STEEL PIPES USING GMAW
WELD ALLOY STEEL PLATES USING GMAW",REGION_VII,METALS AND ENGINEERING,METALS AND ENGINEERING,GMAW PLATE & PIPE WELDER ( ALLOY STEEL),GAS METAL ARC WELDING (GMAW) NC III,With TR,"WELD ALLOY STEEL PIPES USING GMAW
WELD ALLOY STEEL PLATES USING GMAW"
"REGION_VII|METALS AND ENGINEERING|METALS AND ENGINEERING|GTAW/TIG PIPE & PLATE WELDER (ALLOY STEEL)|GAS TUNGSTEN ARC WELDING (GTAW) NC IV|With TR|WELD ALLOY STEEL PLATES USING GTAW
WELD ALLOY STEEL PIPES USING GTAW",REGION_VII,METALS AND ENGINEERING,METALS AND ENGINEERING,GTAW/TIG PIPE & PLATE WELDER (ALLOY STEEL),GAS TUNGSTEN ARC WELDING (GTAW) NC IV,With TR,"WELD ALLOY STEEL PLATES USING GTAW
WELD ALLOY STEEL PIPES USING GTAW"
