,,,,,,,,,,,,,,,,,,
"Importing 1
(Identifier from Pooling)
[Region|Province|Sector|Sub|Job|Program|Type|Rank]",Region,Province,Sector,Sub-sector,Job Requirement,Programs,"Program
Type","Priority
Ranking
(Province)",,Year 2,,,,,Year 3,,,
REGION_VII|CEBU|ENERGY|EV SERVICING AND MAINTENANCE (FOR PRIVATE/PUBLIC VEHICLES)|EV MECHANICAL SERVICE TECHNICIAN|AUTOMOTIVE SERVICING NC I|WITH TR|LOW,REGION_VII,CEBU,ENERGY,EV SERVICING AND MAINTENANCE (FOR PRIVATE/PUBLIC VEHICLES),EV MECHANICAL SERVICE TECHNICIAN,AUTOMOTIVE SERVICING NC I,WITH TR,LOW,,0,0,3,3,,0,0,3,3
REGION_VII|CEBU|ENERGY|SOLAR|SOLAR INSTALLER|PV SYSTEMS INSTALLATION NC II|WITH TR|MEDIUM,REGION_VII,CEBU,ENERGY,SOLAR,SOLAR INSTALLER,PV SYSTEMS INSTALLATION NC II,WITH TR,MEDIUM,,0,0,2,2,,0,0,2,2
"REGION_VII|CEBU|FURNITURE AND FIXTURES|DESIGN AND CREATIVE DOMAIN|MACHINES OPERATOR, FURNITURE MAKER/ASSEMBLER, FURNITURE FINISHER, CABINET MAKER/ASSEMBLER, CAD OPERATOR, CNC MILLING PROGRAMMER, ASSISTANT SUPERVISOR, ASSISTANT TRAINER, ENTREPRENEUR|DIPLOMA PROGRAM IN FURNITURE MAKING TECHNOLOGY|DIPLOMA PROGRAMS|LOW",REGION_VII,CEBU,FURNITURE AND FIXTURES,DESIGN AND CREATIVE DOMAIN,"MACHINES OPERATOR, FURNITURE MAKER/ASSEMBLER, FURNITURE FINISHER, CABINET MAKER/ASSEMBLER, CAD OPERATOR, CNC MILLING PROGRAMMER, ASSISTANT SUPERVISOR, ASSISTANT TRAINER, ENTREPRENEUR",DIPLOMA PROGRAM IN FURNITURE MAKING TECHNOLOGY,DIPLOMA PROGRAMS,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|GARMENTS|GARMENTS|FASHION DESIGNER (APPAREL)|FASHION DESIGN (APPAREL) NC III|WITH TR|LOW,REGION_VII,CEBU,GARMENTS,GARMENTS,FASHION DESIGNER (APPAREL),FASHION DESIGN (APPAREL) NC III,WITH TR,LOW,,0,0,0,0,,0,0,0,0
"REGION_VII|CEBU|HUMAN HEALTH / HEALTH CARE|HEALTH CARE FACILITIES|AMBULANCE CARE ASSISTANT
EMERGENCY MEDICAL TECHNICIAN
FIRST AID ATTENDANTS
MEDICAL FIRST RESPONDER|EMERGENCY MEDICAL SERVICES NC II|WITH TR|LOW",REGION_VII,CEBU,HUMAN HEALTH / HEALTH CARE,HEALTH CARE FACILITIES,"AMBULANCE CARE ASSISTANT
EMERGENCY MEDICAL TECHNICIAN
FIRST AID ATTENDANTS
MEDICAL FIRST RESPONDER",EMERGENCY MEDICAL SERVICES NC II,WITH TR,LOW,,0,0,2,2,,0,0,2,2
"REGION_VII|CEBU|HUMAN HEALTH / HEALTH CARE|HEALTH CARE FACILITIES|AMBULANCE CARE ASSISTANT
EMERGENCY MEDICAL TECHNICIAN
FIRST AID ATTENDANTS
MEDICAL FIRST RESPONDER|EMERGENCY MEDICAL SERVICES NC III|WITH TR|LOW",REGION_VII,CEBU,HUMAN HEALTH / HEALTH CARE,HEALTH CARE FACILITIES,"AMBULANCE CARE ASSISTANT
EMERGENCY MEDICAL TECHNICIAN
FIRST AID ATTENDANTS
MEDICAL FIRST RESPONDER",EMERGENCY MEDICAL SERVICES NC III,WITH TR,LOW,,0,0,2,2,,0,0,2,2
REGION_VII|CEBU|HUMAN HEALTH / HEALTH CARE|HEALTH CARE FACILITIES|BIOMED TECHNICIANS|BIOMEDICAL EQUIPMENT SERVICING NC II|WITH TR|LOW,REGION_VII,CEBU,HUMAN HEALTH / HEALTH CARE,HEALTH CARE FACILITIES,BIOMED TECHNICIANS,BIOMEDICAL EQUIPMENT SERVICING NC II,WITH TR,LOW,,0,0,1,1,,0,0,1,1
REGION_VII|CEBU|HUMAN HEALTH / HEALTH CARE|HEALTH CARE FACILITIES|CAREGIVER ASSISTANTS|CAREGIVING (CLIENTS WITH SPECIAL NEEDS) NC II|WITH TR|HIGH,REGION_VII,CEBU,HUMAN HEALTH / HEALTH CARE,HEALTH CARE FACILITIES,CAREGIVER ASSISTANTS,CAREGIVING (CLIENTS WITH SPECIAL NEEDS) NC II,WITH TR,HIGH,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|HUMAN HEALTH / HEALTH CARE|HEALTH CARE FACILITIES|CAREGIVER ASSISTANTS|CAREGIVING (ELDERLY) NC II|WITH TR|LOW,REGION_VII,CEBU,HUMAN HEALTH / HEALTH CARE,HEALTH CARE FACILITIES,CAREGIVER ASSISTANTS,CAREGIVING (ELDERLY) NC II,WITH TR,LOW,,0,0,2,2,,0,0,2,2
REGION_VII|CEBU|HUMAN HEALTH / HEALTH CARE|HEALTH CARE FACILITIES|CAREGIVER ASSISTANTS|CAREGIVING (GRADE SCHOOLER TO ADOLESCENT) NC II|WITH TR|MEDIUM,REGION_VII,CEBU,HUMAN HEALTH / HEALTH CARE,HEALTH CARE FACILITIES,CAREGIVER ASSISTANTS,CAREGIVING (GRADE SCHOOLER TO ADOLESCENT) NC II,WITH TR,MEDIUM,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|HUMAN HEALTH / HEALTH CARE|HEALTH CARE FACILITIES|CAREGIVER ASSISTANTS|CAREGIVING (NEWBORN TO PRE-SCHOOLER) NC II|WITH TR|MEDIUM,REGION_VII,CEBU,HUMAN HEALTH / HEALTH CARE,HEALTH CARE FACILITIES,CAREGIVER ASSISTANTS,CAREGIVING (NEWBORN TO PRE-SCHOOLER) NC II,WITH TR,MEDIUM,,0,0,1,1,,0,0,1,1
REGION_VII|CEBU|HUMAN HEALTH / HEALTH CARE|HEALTH CARE FACILITIES|CODERS|MEDICAL CODING AND CLAIMS PROCESSING NC III|WITH TR|LOW,REGION_VII,CEBU,HUMAN HEALTH / HEALTH CARE,HEALTH CARE FACILITIES,CODERS,MEDICAL CODING AND CLAIMS PROCESSING NC III,WITH TR,LOW,,0,0,0,0,,0,0,0,0
"REGION_VII|CEBU|HUMAN HEALTH / HEALTH CARE|HEALTH CARE FACILITIES|DENTAL ASSISTANT
DENTAL HYGIENIST
DENTAL AIDE|DENTAL ASSISTANT COURSE|NEW AND EMERGING|LOW",REGION_VII,CEBU,HUMAN HEALTH / HEALTH CARE,HEALTH CARE FACILITIES,"DENTAL ASSISTANT
DENTAL HYGIENIST
DENTAL AIDE",DENTAL ASSISTANT COURSE,NEW AND EMERGING,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|HUMAN HEALTH / HEALTH CARE|HEALTH CARE FACILITIES|MEDICAL AUXILLIARY SUPPORT|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|HIGH,REGION_VII,CEBU,HUMAN HEALTH / HEALTH CARE,HEALTH CARE FACILITIES,MEDICAL AUXILLIARY SUPPORT,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,HIGH,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|HUMAN HEALTH / HEALTH CARE|HEALTH CARE FACILITIES|MEDICAL TRANSCRIPTION EDITOR|MEDICAL TRANSCRIPTION NC II|WITH TR|MEDIUM,REGION_VII,CEBU,HUMAN HEALTH / HEALTH CARE,HEALTH CARE FACILITIES,MEDICAL TRANSCRIPTION EDITOR,MEDICAL TRANSCRIPTION NC II,WITH TR,MEDIUM,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|HUMAN HEALTH / HEALTH CARE|HEALTH CARE FACILITIES|NURSES HEALTHCARE SERVICE WORKER|HEALTH CARE SERVICES NC II|WITH TR|LOW,REGION_VII,CEBU,HUMAN HEALTH / HEALTH CARE,HEALTH CARE FACILITIES,NURSES HEALTHCARE SERVICE WORKER,HEALTH CARE SERVICES NC II,WITH TR,LOW,,0,0,3,3,,0,0,3,3
REGION_VII|CEBU|HUMAN HEALTH / HEALTH CARE|HEALTH CARE FACILITIES|PHARMACISTS PHARMACY ASSISTANT|PHARMACY SERVICES NC III|WITH TR|LOW,REGION_VII,CEBU,HUMAN HEALTH / HEALTH CARE,HEALTH CARE FACILITIES,PHARMACISTS PHARMACY ASSISTANT,PHARMACY SERVICES NC III,WITH TR,LOW,,0,0,2,2,,0,0,2,2
REGION_VII|CEBU|HUMAN HEALTH / HEALTH CARE|HEALTH INFORMATION MANAGEMENT SERVICES|CONTACT TRACER|CONTACT TRACING LEVEL II|WITH CS|LOW,REGION_VII,CEBU,HUMAN HEALTH / HEALTH CARE,HEALTH INFORMATION MANAGEMENT SERVICES,CONTACT TRACER,CONTACT TRACING LEVEL II,WITH CS,LOW,,0,0,0,0,,0,0,0,0
"REGION_VII|CEBU|HUMAN HEALTH / HEALTH CARE|PRIMARY CARE FACILITIES, HEALTH CARE FACILITIES|ADMINISTRATIVE ASSISTANT|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|MEDIUM",REGION_VII,CEBU,HUMAN HEALTH / HEALTH CARE,"PRIMARY CARE FACILITIES, HEALTH CARE FACILITIES",ADMINISTRATIVE ASSISTANT,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,MEDIUM,,0,0,0,0,,0,0,0,0
"REGION_VII|CEBU|HUMAN HEALTH / HEALTH CARE|PRIMARY CARE FACILITIES, HEALTH CARE FACILITIES|CAREGIVER ASSISTANTS|CAREGIVING NC II|WITH TR|MEDIUM",REGION_VII,CEBU,HUMAN HEALTH / HEALTH CARE,"PRIMARY CARE FACILITIES, HEALTH CARE FACILITIES",CAREGIVER ASSISTANTS,CAREGIVING NC II,WITH TR,MEDIUM,,0,0,6,6,,0,0,6,6
"REGION_VII|CEBU|HUMAN HEALTH / HEALTH CARE|PRIMARY CARE FACILITIES, HEALTH CARE FACILITIES|DENTAL ASSISTANT
DENTAL HYGIENIST
DENTAL AIDE|DENTAL HYGIENE LEVEL IV|WITH CS|LOW",REGION_VII,CEBU,HUMAN HEALTH / HEALTH CARE,"PRIMARY CARE FACILITIES, HEALTH CARE FACILITIES","DENTAL ASSISTANT
DENTAL HYGIENIST
DENTAL AIDE",DENTAL HYGIENE LEVEL IV,WITH CS,LOW,,0,0,0,0,,0,0,0,0
"REGION_VII|CEBU|HUMAN HEALTH / HEALTH CARE|PRIMARY CARE FACILITIES, HEALTH CARE FACILITIES|DENTAL EQUIPMENT
LABORATORY TECHNICIAN|DENTAL LABORATORY TECHNOLOGY SERVICES (FIXED DENTURES/RESTORATIONS) NC II|WITH TR|LOW",REGION_VII,CEBU,HUMAN HEALTH / HEALTH CARE,"PRIMARY CARE FACILITIES, HEALTH CARE FACILITIES","DENTAL EQUIPMENT
LABORATORY TECHNICIAN",DENTAL LABORATORY TECHNOLOGY SERVICES (FIXED DENTURES/RESTORATIONS) NC II,WITH TR,LOW,,0,0,0,0,,0,0,0,0
"REGION_VII|CEBU|HUMAN HEALTH / HEALTH CARE|PRIMARY CARE FACILITIES, HEALTH CARE FACILITIES|DENTAL EQUIPMENT
LABORATORY TECHNICIAN|DENTAL LABORATORY TECHNOLOGY SERVICES (REMOVABLE DENTURES/APPLIANCES) NC II|WITH TR|LOW",REGION_VII,CEBU,HUMAN HEALTH / HEALTH CARE,"PRIMARY CARE FACILITIES, HEALTH CARE FACILITIES","DENTAL EQUIPMENT
LABORATORY TECHNICIAN",DENTAL LABORATORY TECHNOLOGY SERVICES (REMOVABLE DENTURES/APPLIANCES) NC II,WITH TR,LOW,,0,0,0,0,,0,0,0,0
"REGION_VII|CEBU|HUMAN HEALTH / HEALTH CARE|PRIMARY CARE FACILITIES, HEALTH CARE FACILITIES|MEDICAL RECEPTIONIST|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|LOW",REGION_VII,CEBU,HUMAN HEALTH / HEALTH CARE,"PRIMARY CARE FACILITIES, HEALTH CARE FACILITIES",MEDICAL RECEPTIONIST,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,LOW,,0,0,0,0,,0,0,0,0
"REGION_VII|CEBU|HUMAN HEALTH / HEALTH CARE|PRIMARY CARE FACILITIES, HEALTH CARE FACILITIES|MEDICAL SECRETARY|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|HIGH",REGION_VII,CEBU,HUMAN HEALTH / HEALTH CARE,"PRIMARY CARE FACILITIES, HEALTH CARE FACILITIES",MEDICAL SECRETARY,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,HIGH,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|HUMAN HEALTH / HEALTH CARE|PRIMARY CARE FACILITIES|BARANGAY NUTRITION SCHOLARS|COMMUNITY NUTRITION SERVICES NC II|WITH TR|LOW,REGION_VII,CEBU,HUMAN HEALTH / HEALTH CARE,PRIMARY CARE FACILITIES,BARANGAY NUTRITION SCHOLARS,COMMUNITY NUTRITION SERVICES NC II,WITH TR,LOW,,0,0,1,1,,0,0,1,1
"REGION_VII|CEBU|HUMAN HEALTH / HEALTH CARE|PRIMARY CARE FACILITIES|COMMUNITY HEALTH WORKERS 
BARANGAY HEALTH WORKERS|BARANGAY HEALTH SERVICES NC II|WITH TR|LOW",REGION_VII,CEBU,HUMAN HEALTH / HEALTH CARE,PRIMARY CARE FACILITIES,"COMMUNITY HEALTH WORKERS 
BARANGAY HEALTH WORKERS",BARANGAY HEALTH SERVICES NC II,WITH TR,LOW,,0,0,2,2,,0,0,2,2
REGION_VII|CEBU|HUMAN HEALTH / HEALTH CARE|WELLNESS FACILITIES|MASSAGE THERAPISTS|HILOT (WELLNESS MASSAGE) NC II|WITH TR|HIGH,REGION_VII,CEBU,HUMAN HEALTH / HEALTH CARE,WELLNESS FACILITIES,MASSAGE THERAPISTS,HILOT (WELLNESS MASSAGE) NC II,WITH TR,HIGH,,0,0,5,5,,0,0,5,5
REGION_VII|CEBU|HUMAN HEALTH / HEALTH CARE|WELLNESS FACILITIES|MASSAGE THERAPISTS|MASSAGE THERAPY NC II|WITH TR|LOW,REGION_VII,CEBU,HUMAN HEALTH / HEALTH CARE,WELLNESS FACILITIES,MASSAGE THERAPISTS,MASSAGE THERAPY NC II,WITH TR,LOW,,0,0,2,2,,0,0,2,2
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|ANIMATION SERVICE|2D ANIMATOR|2D ANIMATION NC III|WITH TR|LOW,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,ANIMATION SERVICE,2D ANIMATOR,2D ANIMATION NC III,WITH TR,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|ANIMATION SERVICE|3D ANIMATOR|3D ANIMATION NC III|WITH TR|LOW,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,ANIMATION SERVICE,3D ANIMATOR,3D ANIMATION NC III,WITH TR,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|ANIMATION SERVICE|ANIMATION CHECKER|VISUAL GRAPHIC DESIGN NC III|WITH TR|LOW,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,ANIMATION SERVICE,ANIMATION CHECKER,VISUAL GRAPHIC DESIGN NC III,WITH TR,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|ANIMATION SERVICES|ANIMATION ARTIST|ANIMATION NC II|WITH TR|MEDIUM,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,ANIMATION SERVICES,ANIMATION ARTIST,ANIMATION NC II,WITH TR,MEDIUM,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|ANIMATION SERVICES|CLEAN-UP ARTIST|VISUAL GRAPHIC DESIGN NC III|WITH TR|HIGH,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,ANIMATION SERVICES,CLEAN-UP ARTIST,VISUAL GRAPHIC DESIGN NC III,WITH TR,HIGH,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|CONTACT CENTER AND BPO|CALL CENTER AGENT|CONTACT CENTER SERVICES NC II|WITH TR|LOW,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,CONTACT CENTER AND BPO,CALL CENTER AGENT,CONTACT CENTER SERVICES NC II,WITH TR,LOW,,0,0,3,3,,0,0,3,3
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|CONTACT CENTER AND BPO|CUSTOMER EXPERIENCE (FINANCE SERVICES)|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|MEDIUM,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,CONTACT CENTER AND BPO,CUSTOMER EXPERIENCE (FINANCE SERVICES),NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,MEDIUM,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|CONTACT CENTER AND BPO|CUSTOMER EXPERIENCE (HEALTHCARE)|CUSTOMER SERVICES NC II|WITH TR|MEDIUM,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,CONTACT CENTER AND BPO,CUSTOMER EXPERIENCE (HEALTHCARE),CUSTOMER SERVICES NC II,WITH TR,MEDIUM,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|CONTACT CENTER AND BPO|CUSTOMER SUPPORT|CUSTOMER SERVICES NC II|WITH TR|LOW,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,CONTACT CENTER AND BPO,CUSTOMER SUPPORT,CUSTOMER SERVICES NC II,WITH TR,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|CONTACT CENTER AND BPO|DATA ANALYTICS|DATA ANALYTICS LEVEL III|WITH CS|LOW,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,CONTACT CENTER AND BPO,DATA ANALYTICS,DATA ANALYTICS LEVEL III,WITH CS,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|CONTACT CENTER AND BPO|DIGITAL MARKETING|DIGITAL MARKETING LEVEL III|WITH CS|LOW,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,CONTACT CENTER AND BPO,DIGITAL MARKETING,DIGITAL MARKETING LEVEL III,WITH CS,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|CONTACT CENTER AND BPO|DIGITIAL MARKETING PROFICIENCY|DIGITAL MARKETING LEVEL III|WITH CS|LOW,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,CONTACT CENTER AND BPO,DIGITIAL MARKETING PROFICIENCY,DIGITAL MARKETING LEVEL III,WITH CS,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|CONTACT CENTER AND BPO|E COMMERCE|DIGITAL MARKETING LEVEL III|WITH CS|LOW,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,CONTACT CENTER AND BPO,E COMMERCE,DIGITAL MARKETING LEVEL III,WITH CS,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|CONTACT CENTER AND BPO|ENGLISH PROFICIENCY|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|MEDIUM,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,CONTACT CENTER AND BPO,ENGLISH PROFICIENCY,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,MEDIUM,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|CONTACT CENTER AND BPO|REPORTERS (WHO CAN DO DIGITAL WORKS AND ARE SOCIAL MEDIA ENTHUSIAST)|DIGITAL MARKETING LEVEL III|WITH CS|LOW,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,CONTACT CENTER AND BPO,REPORTERS (WHO CAN DO DIGITAL WORKS AND ARE SOCIAL MEDIA ENTHUSIAST),DIGITAL MARKETING LEVEL III,WITH CS,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|CONTACT CENTER AND BPO|SALES AND MARKETING|DIGITAL MARKETING LEVEL III|WITH CS|LOW,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,CONTACT CENTER AND BPO,SALES AND MARKETING,DIGITAL MARKETING LEVEL III,WITH CS,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|CONTACT CENTER AND BPO|SALES/TELEMARKETING PROFICIENT WORKFORCE|CUSTOMER SERVICES NC II|WITH TR|HIGH,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,CONTACT CENTER AND BPO,SALES/TELEMARKETING PROFICIENT WORKFORCE,CUSTOMER SERVICES NC II,WITH TR,HIGH,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|CONTACT CENTER AND BPO|SOCIAL MEDIA MARKETING|DIGITAL MARKETING LEVEL III|WITH CS|LOW,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,CONTACT CENTER AND BPO,SOCIAL MEDIA MARKETING,DIGITAL MARKETING LEVEL III,WITH CS,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|EDUCATION|ESL TEACHER/TUTOR|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|MEDIUM,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,EDUCATION,ESL TEACHER/TUTOR,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,MEDIUM,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|GAME DEVELOPENT SERVICES|DEVELOPERS|WEB DEVELOPMENT NC III|WITH TR|LOW,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,GAME DEVELOPENT SERVICES,DEVELOPERS,WEB DEVELOPMENT NC III,WITH TR,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|GAME DEVELOPMENT SERVICES|2D GAME ARTIST|2D GAME ART DEVELOPMENT NC III|WITH TR|LOW,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,GAME DEVELOPMENT SERVICES,2D GAME ARTIST,2D GAME ART DEVELOPMENT NC III,WITH TR,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|GAME DEVELOPMENT SERVICES|3D GAME ARTIST|3D GAME ART DEVELOPMENT NC III|WITH TR|LOW,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,GAME DEVELOPMENT SERVICES,3D GAME ARTIST,3D GAME ART DEVELOPMENT NC III,WITH TR,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|GAME DEVELOPMENT SERVICES|APPLICATION DEVELOPER|GAME PROGRAMMING NC III|WITH TR|MEDIUM,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,GAME DEVELOPMENT SERVICES,APPLICATION DEVELOPER,GAME PROGRAMMING NC III,WITH TR,MEDIUM,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|GAME DEVELOPMENT SERVICES|APPLICATION DEVELOPMENT|WEB DEVELOPMENT NC III|WITH TR|LOW,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,GAME DEVELOPMENT SERVICES,APPLICATION DEVELOPMENT,WEB DEVELOPMENT NC III,WITH TR,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|GAME DEVELOPMENT SERVICES|FRONT END WEB DEVELOPER|VISUAL GRAPHIC DESIGN NC III|WITH TR|LOW,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,GAME DEVELOPMENT SERVICES,FRONT END WEB DEVELOPER,VISUAL GRAPHIC DESIGN NC III,WITH TR,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|GAME DEVELOPMENT SERVICES|GAME DEVELOPMENT|GAME PROGRAMMING NC III|WITH TR|LOW,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,GAME DEVELOPMENT SERVICES,GAME DEVELOPMENT,GAME PROGRAMMING NC III,WITH TR,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|GAME DEVELOPMENT SERVICES|SOFTWARE DEVELOPER|WEB DEVELOPMENT NC III|WITH TR|LOW,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,GAME DEVELOPMENT SERVICES,SOFTWARE DEVELOPER,WEB DEVELOPMENT NC III,WITH TR,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|GAME DEVELOPMENT SERVICES|WEB DEVELOPER|WEB DEVELOPMENT NC III|WITH TR|LOW,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,GAME DEVELOPMENT SERVICES,WEB DEVELOPER,WEB DEVELOPMENT NC III,WITH TR,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|GAME DEVELOPMENT SERVICES|WEB DEVELOPER|WEB DEVELOPMENT NC III|WITH TR|MEDIUM,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,GAME DEVELOPMENT SERVICES,WEB DEVELOPER,WEB DEVELOPMENT NC III,WITH TR,MEDIUM,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|HEALTH INFORMATION MANAGEMENT SERVICES|CLAIMS PROCESSORS|MEDICAL CODING AND CLAIMS PROCESSING NC III|WITH TR|LOW,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,HEALTH INFORMATION MANAGEMENT SERVICES,CLAIMS PROCESSORS,MEDICAL CODING AND CLAIMS PROCESSING NC III,WITH TR,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|HEALTH INFORMATION MANAGEMENT SERVICES|MEDICAL CODER|MEDICAL CODING AND CLAIMS PROCESSING NC III|WITH TR|LOW,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,HEALTH INFORMATION MANAGEMENT SERVICES,MEDICAL CODER,MEDICAL CODING AND CLAIMS PROCESSING NC III,WITH TR,LOW,,0,0,0,0,,0,0,0,0
